index,price,production_year,size,color,material,acc_included,condition_ext,other_defects,has_smell,has_chain,has_logo,has_quilts,bag_style,brand
188,1841,2000-2010,small,yellow,lambskin,4,excellent,1,0,0,1,0,shoulder_bag,Chanel
189,2306,2000-2010,medium,black,caviar,3,good,1,0,1,1,1,shoulder_bag,Chanel
190,1841,2000-2010,large,black,lambskin,5,excellent,1,0,0,1,0,tote,Chanel
191,1841,2000-2010,large,black,lambskin,3,good,1,0,1,1,0,hand_bag,Chanel
192,2771,1990s,small,black,lambskin,1,good,1,0,0,1,1,hand_bag,Chanel
193,370,2000-2010,mini,brown,lambskin,1,good,1,0,0,1,1,clutch,Chanel
194,1841,1990s,medium,brown,suede,3,good,1,0,0,0,0,backpack,Chanel
195,2771,2000-2010,small,black,lambskin,3,good,1,0,0,0,0,flap_bag,Chanel
196,3050,1990s,medium,black,caviar,4,excellent,1,0,0,0,1,shoulder_bag,Chanel
197,2771,1990s,small,black,suede,2,used,1,0,0,0,0,flap_bag,Chanel
198,3980,1990s,small,beige,caviar,4,excellent,1,0,1,0,1,shoulder_bag,Chanel
199,1841,2000-2010,medium,pink,tweed,3,used,1,0,1,0,1,shoulder_bag,Chanel
200,1841,2000-2010,small,black,caviar,3,good,1,0,0,0,1,hand_bag,Chanel
201,2120,1990s,small,red,fabric,4,good,1,0,1,0,1,hand_bag,Chanel
202,2492,2000-2010,small,beige,caviar,5,good,1,0,0,0,1,flap_bag,Chanel
203,1376,1990s,small,blue,fabric,4,good,1,0,0,1,0,mini bag,Chanel
204,2771,1990s,small,black,fabric,4,good,1,0,0,1,0,hand_bag,Chanel
205,1562,2000-2010,small,black,patent,2,good,1,0,0,0,0,hand_bag,Chanel
206,2306,1990s,small,brown,fabric,4,good,1,0,1,1,0,tote,Chanel
207,1841,2000-2010,small,blue,patent,3,excellent,1,0,0,0,1,tote,Chanel
208,2120,2000-2010,medium,black,caviar,2,excellent,0,0,0,0,0,tote,Chanel
209,2492,1980s,small,black,lambskin,1,good,0,0,1,0,1,mini bag,Chanel
210,2492,1980s,small,beige,lambskin,3,good,0,0,1,0,1,shoulder_bag,Chanel
211,2492,1980s,small,beige,lambskin,2,good,0,0,1,0,1,flap_bag,Chanel
212,2306,1980s,small,black,lambskin,1,good,0,1,1,0,1,shoulder_bag,Chanel
213,2771,1980s,small,pink,exotic,2,good,0,0,1,0,1,shoulder_bag,Chanel
214,2306,1990s,small,orange,caviar,4,good,0,0,0,0,1,clutch,Chanel
215,2771,2000-2010,medium,brown,suede,4,used,0,0,0,0,0,flap_bag,Chanel
216,4259,2000-2010,small,black,lambskin,4,excellent,0,1,0,0,0,flap_bag,Chanel
217,1841,1980s,small,purple,suede,2,used,0,0,1,0,1,shoulder_bag,Chanel
218,3701,2000-2010,large,black,lambskin,1,good,0,0,1,0,1,backpack,Chanel
219,3236,2000-2010,medium,black,lambskin,3,good,0,0,1,0,1,backpack,Chanel
220,2492,1980s,small,black,lambskin,2,good,0,0,1,0,1,shoulder_bag,Chanel
221,1841,1990s,small,black,lambskin,2,good,0,0,0,0,1,hand_bag,Chanel
222,1376,2000-2010,mini,beige,caviar,2,good,0,0,1,0,0,clutch,Chanel
223,1376,1990s,mini,yellow,caviar,1,good,0,0,1,0,0,clutch,Chanel
224,2120,2000-2010,small,black,lambskin,1,good,0,0,0,0,1,shoulder_bag,Chanel
225,1562,2000-2010,small,black,lambskin,1,good,0,0,0,1,0,backpack,Chanel
226,1841,2000-2010,medium,orange,lambskin,4,good,0,0,0,1,0,crossbody,Chanel
227,1562,2000-2010,medium,black,lambskin,3,good,0,0,0,0,0,tote,Chanel
228,1841,2000-2010,small,pink,caviar,2,used,0,0,1,0,0,woc,Chanel
229,1376,2000-2010,medium,black,lambskin,2,good,0,0,0,1,0,tote,Chanel
230,3980,2000-2010,small,black,lambskin,3,good,0,0,0,0,0,hand_bag,Chanel
231,2492,2000-2010,medium,pink,lambskin,2,good,0,0,0,0,0,hand_bag,Chanel
232,1562,2000-2010,small,black,lambskin,2,good,0,0,0,0,1,clutch,Chanel
233,1376,2000-2010,large,black,lambskin,3,good,0,1,1,0,1,tote,Chanel
234,1841,2000-2010,small,black,lambskin,1,good,0,0,0,0,0,shoulder_bag,Chanel
235,1841,1990s,xlarge,black,caviar,1,good,0,0,0,1,0,tote,Chanel
236,3236,2000-2010,small,beige,caviar,4,good,0,0,1,1,0,backpack,Chanel
237,3050,2000-2010,small,beige,tweed,5,good,0,0,0,0,0,flap_bag,Chanel
238,1841,2000-2010,medium,black,caviar,4,good,0,0,1,0,0,tote,Chanel
239,5561,2000-2010,small,beige,caviar,5,excellent,0,0,1,0,0,shoulder_bag,Chanel
240,463,2000-2010,medium,black,fabric,1,good,0,0,0,1,0,clutch,Chanel
241,1841,2000-2010,medium,black,fabric,4,excellent,0,0,1,0,0,shoulder_bag,Chanel
242,1562,2000-2010,medium,beige,lambskin,5,good,0,0,0,1,0,shoulder_bag,Chanel
243,2306,2000-2010,medium,blue,fabric,4,good,0,0,1,0,0,shoulder_bag,Chanel
244,2771,1990s,xlarge,brown,caviar,4,good,0,0,0,0,0,hand_bag,Chanel
245,1841,2000-2010,small,black,lambskin,4,good,0,0,0,0,1,tote,Chanel
246,1562,2000-2010,small,black,lambskin,1,good,0,0,0,0,0,hand_bag,Chanel
247,1562,2000-2010,xlarge,black,lambskin,3,used,0,0,0,0,0,tote,Chanel
248,3701,1980s,small,black,lambskin,1,good,0,0,1,0,1,hand_bag,Chanel
250,2492,1980s,small,black,lambskin,4,good,0,0,1,0,1,shoulder_bag,Chanel
251,3422,1990s,medium,black,caviar,4,good,0,0,0,1,0,backpack,Chanel
252,2306,1980s,small,black,lambskin,2,good,0,1,0,0,0,flap_bag,Chanel
253,4631,1990s,small,black,fabric,3,excellent,0,0,0,0,0,flap_bag,Chanel
254,3236,2000-2010,small,brown,fabric,1,good,0,0,1,1,0,shoulder_bag,Chanel
255,2120,2000-2010,medium,black,lambskin,4,good,0,0,1,0,0,shoulder_bag,Chanel
256,4259,2000-2010,small,beige,caviar,3,excellent,0,0,0,0,1,flap_bag,Chanel
257,3422,1990s,medium,black,caviar,2,good,0,0,1,1,0,backpack,Chanel
258,1562,1990s,medium,black,caviar,3,good,0,0,0,1,0,shoulder_bag,Chanel
259,1841,2000-2010,small,black,lambskin,4,good,0,0,0,0,0,tote,Chanel
260,1562,2000-2010,small,black,lambskin,4,good,0,0,0,0,0,shoulder_bag,Chanel
261,1562,2000-2010,small,black,patent,2,good,0,0,0,0,0,clutch,Chanel
263,1562,2000-2010,medium,beige,lambskin,1,good,0,0,0,0,0,hand_bag,Chanel
265,1190,1990s,mini,yellow,caviar,2,good,0,0,1,0,0,shoulder_bag,Chanel
266,2306,2000-2010,medium,beige,lambskin,4,used,0,0,1,0,0,shoulder_bag,Chanel
267,2492,2000-2010,small,beige,lambskin,1,good,0,0,0,0,1,flap_bag,Chanel
268,1562,2000-2010,medium,black,lambskin,4,good,0,0,0,0,0,shoulder_bag,Chanel
269,2492,1990s,medium,beige,lambskin,1,good,0,0,0,1,0,backpack,Chanel
271,3050,1990s,xlarge,black,caviar,2,good,0,0,0,1,0,hand_bag,Chanel
272,2120,2000-2010,medium,black,caviar,3,good,0,0,0,1,0,shoulder_bag,Chanel
273,1376,2000-2010,medium,black,patent,4,good,0,0,0,0,0,hand_bag,Chanel
274,2492,2000-2010,small,brown,lambskin,2,used,0,1,1,0,0,shoulder_bag,Chanel
275,1562,1980s,small,beige,lambskin,1,excellent,0,0,0,0,1,clutch,Chanel
276,1841,1980s,small,black,lambskin,1,good,1,0,0,0,1,clutch,Chanel
277,1562,2000-2010,small,brown,lambskin,2,good,0,0,0,0,1,clutch,Chanel
280,1562,2000-2010,small,black,lambskin,1,good,0,0,0,1,0,hand_bag,Chanel
281,1190,1990s,xlarge,beige,lambskin,2,good,0,0,0,1,0,tote,Chanel
282,1562,2000-2010,medium,beige,caviar,2,good,0,0,0,0,1,mini bag,Chanel
283,3050,2000-2010,small,black,fabric,4,good,0,0,1,0,1,shoulder_bag,Chanel
284,2306,1990s,medium,brown,fabric,3,good,1,0,1,1,0,tote,Chanel
285,1841,1990s,small,black,caviar,4,good,0,0,1,1,0,tote,Chanel
286,911,2000-2010,small,red,caviar,4,good,0,0,0,1,0,clutch,Chanel
287,3701,2000-2010,small,black,fabric,5,excellent,0,0,1,0,0,flap_bag,Chanel
289,1562,2000-2010,small,black,lambskin,2,excellent,0,0,0,0,0,hand_bag,Chanel
290,1190,2000-2010,small,black,synthetic,5,used,0,0,0,0,0,hand_bag,Chanel
292,3422,2000-2010,large,beige,lambskin,3,excellent,0,0,0,0,1,flap_bag,Chanel
293,2771,2000-2010,small,blue,lambskin,1,good,0,0,0,0,0,flap_bag,Chanel
294,2306,1980s,small,beige,lambskin,2,good,0,0,1,0,1,shoulder_bag,Chanel
295,1841,2000-2010,small,beige,lambskin,3,good,0,0,0,0,1,shoulder_bag,Chanel
296,1841,1990s,small,black,caviar,3,good,0,0,1,0,0,tote,Chanel
297,1562,2000-2010,medium,black,caviar,1,good,0,0,0,1,0,hand_bag,Chanel
298,2771,1990s,small,beige,caviar,1,good,0,0,0,1,0,vanity_case,Chanel
299,1376,1990s,small,brown,suede,3,used,0,0,1,0,0,shoulder_bag,Chanel
300,1004,2000-2010,small,black,suede,1,used,0,0,0,0,0,clutch,Chanel
302,2120,2000-2010,mini,red,lambskin,2,used,0,0,1,0,1,clutch,Chanel
303,2492,1990s,mini,metallic,lambskin,2,good,0,0,1,0,1,clutch,Chanel
304,2306,2000-2010,mini,metallic,lambskin,1,good,0,0,1,0,1,clutch,Chanel
308,1841,1990s,small,black,caviar,2,good,0,0,1,0,0,woc,Chanel
310,2120,1980s,small,pink,fabric,3,used,0,0,1,0,1,shoulder_bag,Chanel
312,5561,2000-2010,medium,metallic,lambskin,2,good,0,0,0,1,1,hand_bag,Chanel
313,1841,1980s,small,red,lambskin,1,good,0,0,1,0,1,mini bag,Chanel
314,3701,2000-2010,small,metallic,lambskin,3,good,0,0,1,0,0,shoulder_bag,Chanel
315,2120,2000-2010,medium,metallic,fabric,4,good,0,0,1,0,0,shoulder_bag,Chanel
316,1841,1990s,small,green,caviar,3,good,0,0,0,0,0,vanity_case,Chanel
317,1841,2000-2010,small,metallic,lambskin,4,excellent,0,0,1,0,0,shoulder_bag,Chanel
319,3050,1980s,small,white,lambskin,3,used,0,0,1,0,1,waist_bag,Chanel
321,1004,2000-2010,small,black,patent,4,good,0,0,1,0,0,hand_bag,Chanel
322,2120,2000-2010,medium,black,lambskin,1,good,0,0,1,0,1,tote,Chanel
324,2771,1980s,small,metallic,lambskin,1,good,0,0,1,0,1,shoulder_bag,Chanel
325,1562,2000-2010,medium,brown,suede,5,used,0,0,0,0,0,shoulder_bag,Chanel
326,3980,2000-2010,large,yellow,fabric,1,good,0,1,0,0,1,flap_bag,Chanel
327,2771,2000-2010,small,beige,fabric,3,good,0,0,0,0,1,flap_bag,Chanel
328,1562,2000-2010,xlarge,black,lambskin,1,good,0,0,0,0,0,hand_bag,Chanel
329,2120,1990s,small,black,fabric,3,good,0,0,0,1,1,hand_bag,Chanel
330,3236,2000-2010,small,black,fabric,1,good,0,0,1,0,1,hand_bag,Chanel
331,1562,1990s,xlarge,black,fabric,1,good,0,0,0,0,0,hand_bag,Chanel
332,1841,2000-2010,xlarge,brown,caviar,2,good,0,0,1,1,0,shoulder_bag,Chanel
333,1190,1980s,medium,black,lambskin,3,good,0,0,1,0,0,tote,Chanel
334,1841,2000-2010,large,black,caviar,1,good,0,0,0,0,0,tote,Chanel
335,2306,1990s,small,black,lambskin,2,good,1,0,0,0,1,shoulder_bag,Chanel
336,1376,1990s,small,beige,suede,4,used,0,0,1,0,0,shoulder_bag,Chanel
337,1841,1980s,small,red,exotic,2,excellent,0,0,0,0,1,clutch,Chanel
338,2306,1990s,medium,beige,caviar,4,good,0,0,0,1,0,tote,Chanel
339,1562,1990s,small,pink,suede,5,used,0,0,0,0,1,hand_bag,Chanel
340,2771,1980s,small,purple,lambskin,1,good,0,0,0,0,1,flap_bag,Chanel
341,1841,2000-2010,medium,white,caviar,2,used,0,0,0,1,0,hand_bag,Chanel
