productname,brand,price,pagelink,condition,conditiondetails,exteriorcolor,exteriormaterial,hardware,accessories,brandcode,measurements,itemnr,claircode
North South Deauville Tote Glazed Calfskin Small,Chanel,"
            $1,795
        ",/collections/chanel/products/handbags-chanel-north-south-deauville-tote-glazed-calfskin-small50370107,Great,". Heavy creasing on exterior, glue stain on handles, minor wear in interior, scratches on hardware.",White,Leather,Silver,No Accessories,22079387,"Handle Drop 10&quot;, Height 10.5&quot;, Width 10&quot;, Depth 5&quot;",50370/107,HB.CH.NSDT.GZCF.SM 
Deauville Wallet on Chain Denim,Chanel,"
            $2,450
        ",/collections/chanel/products/handbags-chanel-deauville-wallet-on-chain-denim54710124,Excellent,". Slight wear on exterior edges, indentations on front underneath flap, scratches on hardware.",Blue,Denim,Silver,"Box, Dust Bag, Authenticity Card",21981174,"Height 5&quot;, Width 7.5&quot;, Depth 1&quot;, Strap Drop 24&quot;",54710/124,HB.CH.DVWC.DEN 
"Vintage Diamond CC Slit Pocket Camera Bag Quilted Leather Small Item Number: 47319/12"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/47319-12_20Chanel_20Vintage_20Diamond_20CC_20Slit_20Pocket_20Cam_2D_0002_grande.jpg?v=1575952658"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1180"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-vintage-diamond-cc-slit-pocket-camera-bag-quilted-leather-small4731912?variant=30552038998086""
            }}
</script>
",Chanel,"
            $1,180
        ",/collections/chanel/products/handbags-chanel-vintage-diamond-cc-slit-pocket-camera-bag-quilted-leather-small4731912,Fair,". Moderate wear on base corners and along opening, creasing on strap, small marks and glue stains in interior, scratches on hardware.",,,,"Dust Bag, Authenticity Card",,"Height 5&quot;, Width 7.5&quot;, Depth 3&quot;, Strap Drop 20&quot;",47319/12,
"Accordion Reissue Flap Bag Quilted Aged Calfskin Large Item Number: 48586/4"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/48586-4_20Chanel_20Accordion_20Reissue_20Flap_20Bag_20Quilted_2D_0002_grande.jpg?v=1575953091"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""965"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-chanel-accordion-reissue-flap-bag-quilted-aged-calfskin-large485864?variant=31101548920902""
            }}
</script>
",Chanel,"
            $965
        ",/collections/chanel/products/handbags-chanel-accordion-reissue-flap-bag-quilted-aged-calfskin-large485864,Good,". Moderate discoloration, scuffs, creasing and wear on exterior and in interior, scratches on hardware.",,,,"Authenticity Card, Dust Bag",,"Handle Drop 11&quot;, Height 7.5&quot;, Width 11&quot;, Depth 6.5&quot;, Strap Drop 20&quot;",48586/4,
Biarritz Tote Quilted Coated Canvas Large,Chanel,"
            $780
        ",/collections/chanel/products/handbags-chanel-biarritz-tote-quilted-coated-canvas-large5444129,Very good,". Minor wear and creasing on exterior, moderate peeling and cracking on handle wax edges. Discoloration and wear in interior, scratches on hardware.",Black,Canvas (Coated),Silver,Dust Bag,16413133,"Handle Drop 6.5&quot;, Height 11.5&quot;, Width 13&quot;, Depth 5.5&quot;",54441/29,HB.CH.BIA.QUCC.LG 
Vintage Diana Flap Bag Quilted Lambskin Medium,Chanel,"
            $3,800
        ",/collections/chanel/products/handbags-chanel-vintage-diana-flap-bag-quilted-lambskin-medium5545990,Very good,". Wear, creasing, scuffs and indentations on exterior and underneath flap. Discoloration and wear on strap, scratches on hardware.",Black,Leather,Gold,Authenticity Card,3254881,"Height 6.5&quot;, Width 9.5&quot;, Depth 3&quot;, Strap Drop 20&quot;",55459/90,HB.CH.VIDF.QULA.ME 
Vintage Front Pocket Camera Bag Quilted Lambskin Medium,Chanel,"
            $2,650
        ",/collections/chanel/products/handbags-chanel-vintage-front-pocket-camera-bag-quilted-lambskin-medium554599,Very good,". Moderate creasing , discoloration and wear on exterior and underneath flap. Minor wear in interior, scratches, tarnish and discoloration on hardware.",Black,Leather,Gold,Authenticity Card,1866600,"Height 6.5&quot;, Width 9&quot;, Depth 2&quot;, Strap Drop 20&quot;",55459/9,HB.CH.VFPCB.QULA.ME 
Vintage Full Flap Bag Quilted Lambskin Medium,Chanel,"
            $3,400
        ",/collections/chanel/products/handbags-chanel-vintage-full-flap-bag-quilted-lambskin-medium5545999,Great,". Wear, discoloration and scuffs on exterior and underneath flap. Minor wear on strap, scratches on hardware.",Black,Leather,Gold,Authenticity Card,4014526,"Height 5.5&quot;, Width 9&quot;, Depth 2&quot;, Strap Drop 16&quot;",55459/99,HB.CH.VIFF.QULA.ME 
Vintage Classic Double Flap Bag Quilted Lambskin Medium,Chanel,"
            $3,950
        ",/collections/chanel/products/handbags-chanel-vintage-classic-double-flap-bag-quilted-lambskin-medium5545994,Very good,". Moderate wear on exterior and strap, creasing underneath flap, indentations on interior flap. Light scuffs in interior, scratches on hardware.",Black,Leather,Gold,Authenticity Card,0913535,"Handle Drop 9&quot;, Height 6&quot;, Width 10&quot;, Depth 2.5&quot;, Strap Drop 16&quot;",55459/94,HB.CH.VCDFFL.QULA.ME 
Vintage CC Chain Flap Bag Quilted Lambskin Medium,Chanel,"
            $3,500
        ",/collections/chanel/products/handbags-chanel-vintage-cc-chain-flap-bag-quilted-lambskin-medium5545991,Very good,". Scuffs, indentations and wear on exterior, heavy indentations on interior flap, creasing and scuffs underneath flap. Wear in interior, scratches on hardware.",Black,Leather,Gold,Authenticity Card,0701229,"Handle Drop 9&quot;, Height 6&quot;, Width 9.5&quot;, Depth 2.5&quot;, Strap Drop 16.5&quot;",55459/91,HB.CH.VCCFB.QULA.ME 
Vintage Classic Double Flap Bag Quilted Lambskin Medium,Chanel,"
            $3,950
        ",/collections/chanel/products/handbags-chanel-vintage-classic-double-flap-bag-quilted-lambskin-medium5545993,Great,". Moderate creasing and scuffs on exterior and underneath flap, indentations and discoloration on interior flap. Light wear on strap and in interior, scratches on hardware.",Black,Leather,Gold,No Accessories,3693711,"Handle Drop 9&quot;, Height 6&quot;, Width 10&quot;, Depth 2.5&quot;, Strap Drop 15&quot;",55459/93,HB.CH.VCDFFL.QULA.ME 
Vintage Full Flap Bag Quilted Lambskin Small,Chanel,"
            $3,200
        ",/collections/chanel/products/handbags-chanel-vintage-full-flap-bag-quilted-lambskin-small5545997,Very good,". Scuffs on exterior, indentation on base, creasing and scuffs underneath flap. Light wear in interior, scratches on hardware.",Black,Leather,Gold,Authenticity Card,0454675,"Height 6&quot;, Width 9&quot;, Depth 2.5&quot;, Strap Drop 20&quot;",55459/97,HB.CH.VIFF.QULA.SM 
Reverso Boy Flap Bag Calfskin Old Medium,Chanel,"
            $3,070
        ",/collections/chanel/products/handbags-chanel-reverso-boy-flap-bag-calfskin-old-medium5558878,Good,". Moderate scratches and indentations on exterior, wear on base corners and strap. Visible oil slick discoloration on hardware.",Black,Leather,Aged Silver,No Accessories,18932477,"Handle Drop 10.5&quot;, Height 6&quot;, Width 10.5&quot;, Depth 3&quot;, Strap Drop 19.5&quot;",55588/78,HB.CH.RBF.CLF.OM 
Chocolate Bar Fold Over Chain Bag Quilted Lambskin Medium,Chanel,"
            $2,950
        ",/collections/chanel/products/handbags-chanel-chocolate-bar-fold-over-chain-bag-quilted-lambskin-medium5569024,Excellent,". Minor scuffs on exterior, scratches on hardware.",Black,Leather,Gold,With Strap,7427970,"Handle Drop 3.5&quot;, Height 9&quot;, Width 13.5&quot;, Depth 1&quot;, Strap Drop 9.5&quot;",55690/24,HB.CH.COON.QULA.ME 
Vintage Front Pocket Camera Bag Chevron Lambskin Medium,Chanel,"
            $3,500
        ",/collections/chanel/products/handbags-chanel-vintage-front-pocket-camera-bag-chevron-lambskin-medium55459102,Great,". Minor wear, creasing and scuffs on exterior, scratches on hardware.",Black,Leather,Gold,Authenticity Card,2468039,"Height 6.5&quot;, Width 9&quot;, Depth 2.5&quot;, Strap Drop 20&quot;",55459/102,HB.CH.VFPCB.CHVLS.ME 
Classic Flap Card Case Quilted Lambskin,Chanel,"
            $680
        ",/collections/chanel/products/handbags-chanel-classic-flap-card-case-quilted-lambskin5576833,Great,". Light scuffs on exterior, bubbling underneath flap, scratches on hardware.",Black,Leather,Silver,Authenticity Card,13694360,"Height 3&quot;, Width 4.5&quot;, Depth 1&quot;",55768/33,AC.CH.CFCO.QULA 
Reissue Wallet on Chain Graffiti Crocodile Embossed Calfskin,Chanel,"
            $3,640
        ",/collections/chanel/products/handbags-chanel-reissue-wallet-on-chain-graffiti-crocodile-embossed-calfskin5576849,Excellent,". Minor scuffs underneath flap, small marks and light wear in interior, scratches and slight discoloration on hardware.","Black, Gold",Leather,Gold,"Box, Dust Bag, Authenticity Card",28209537,"Height 5&quot;, Width 7.5&quot;, Depth 1.5&quot;, Strap Drop 22&quot;",55768/49,HB.CH.RSWC.PRCK 
Biarritz Hobo Quilted Coated Canvas Large,Chanel,"
            $765
        ",/collections/chanel/products/handbags-chanel-biarritz-hobo-quilted-coated-canvas-large5586628,Very good,". Creasing on exterior, light wear on base corners, cracking on handle base wax edges. Minor wear and stains in interior, scratches and tarnish on hardware.",Black,Canvas (Coated),Silver,No Accessories,11227803,"Handle Drop 11&quot;, Height 9&quot;, Width 14&quot;, Depth 7&quot;",55866/28,HB.CH.BARI.QUCC.LG 
Reissue 2.55 Flap Bag Graffiti Crocodile Embossed Calfskin 226,Chanel,"
            $6,265
        ",/collections/chanel/products/handbags-chanel-reissue-255-flap-bag-graffiti-crocodile-embossed-calfskin-2265576890,Excellent,". Light scuffs underneath flap, minor indentations on interior flap, scratches on hardware.","Black, Gold, Print",Leather,Gold,No Accessories,28242159,"Handle Drop 11&quot;, Height 7&quot;, Width 11&quot;, Depth 3.5&quot;, Strap Drop 20&quot;",55768/90,HB.CH.R255.PRCK.226 
Vintage CC Messenger Bag Lambskin Medium,Chanel,"
            $1,450
        ",/collections/chanel/products/handbags-chanel-vintage-cc-messenger-bag-lambskin-medium55906108,Very good,". Moderate creasing and scuffs on exterior, splitting on strap wax edges, peeling on buckle edges. Minimal wear in interior, scratches on hardware.",Black,Leather,Black,"Authenticity Card, With Strap",5632120,"Height 12&quot;, Width 12&quot;, Depth 3.5&quot;, Strap Drop 15-17&quot;",55906/108,HB.CH.VCCM.LS.ME 
Vintage Covered CC Flap Bag Quilted Lambskin Medium,Chanel,"
            $2,185
        ",/collections/chanel/products/handbags-chanel-vintage-covered-cc-flap-bag-quilted-lambskin-medium55906147,Very good,". Moderate scuffs, discoloration and wear on exterior and strap. Creasing on strap and underneath flap, indentations on interior base, scratches on hardware.",Black,Leather,Gold,No Accessories,2532702,"Height 6.5&quot;, Width 9&quot;, Depth 3&quot;, Strap Drop 17.5&quot;",55906/147,HB.CH.VCVF.QULA.ME 
Vintage Full Flap Bag Quilted Lambskin Medium,Chanel,"
            $2,625
        ",/collections/chanel/products/handbags-chanel-vintage-full-flap-bag-quilted-lambskin-medium55906145,Very good,". Moderate scuffs and wear on exterior and underneath flap, discoloration and wear on strap, scratches on hardware.",Black,Leather,Gold,Authenticity Card,1390183,"Height 5.5&quot;, Width 9&quot;, Depth 2.5&quot;, Strap Drop 20&quot;",55906/145,HB.CH.VIFF.QULA.ME 
Paris-Dallas Boy Flap Bag Enchained Fringe with Quilted Calfskin Old Medium,Chanel,"
            $3,200
        ",/collections/chanel/products/handbags-chanel-paris-dallas-boy-flap-bag-enchained-fringe-with-quilted-calfskin-old-medium5586636,Very good,". Wear on base and flap corners, loss of shape on base, creasing and light scuffs underneath flap, scratches on hardware.",Brown,Leather,Aged Silver,Authenticity Card,19994810,"Handle Drop 11.5&quot;, Height 6&quot;, Width 9.5&quot;, Depth 3&quot;, Strap Drop 19&quot;",55866/36,HB.CH.PSDBF.EFQC.OM 
Vintage Classic Double Flap Bag Quilted Lambskin Medium,Chanel,"
            $3,500
        ",/collections/chanel/products/handbags-chanel-vintage-classic-double-flap-bag-quilted-lambskin-medium55906100,Good,". Moderate wear, scuffs, discoloration and creasing on exterior, strap, underneath flap and on interior flap. Small indentations in interior, scratches on hardware.",Black,Leather,Gold,Authenticity Card,1695392,"Handle Drop 8.5&quot;, Height 6&quot;, Width 10&quot;, Depth 2.5&quot;, Strap Drop 15&quot;",55906/100,HB.CH.VCDFFL.QULA.ME 
Vintage Clutch with Chain Quilted Leather Medium,Chanel,"
            $2,825
        ",/collections/chanel/products/handbags-chanel-vintage-clutch-with-chain-quilted-leather-medium5586633,Excellent,". Scuffs and light indentations underneath flap and in interior, scratches on hardware.",Black,Leather,Gold,Box,2813372,"Height 7&quot;, Width 9.5&quot;, Depth 2&quot;, Strap Drop 15&quot;",55866/33,HB.CH.VINCC.QLE.ME 
Vintage Front Pocket Camera Bag Quilted Lambskin Medium,Chanel,"
            $3,230
        ",/collections/chanel/products/handbags-chanel-vintage-front-pocket-camera-bag-quilted-lambskin-medium55906203,Very good,". Creasing and scuffs on exterior, wear in interior, scratches on hardware.",Black,Leather,Gold,Authenticity Card,1857497,"Height 8&quot;, Width 10.5&quot;, Depth 3&quot;, Strap Drop 18&quot;",55906/203,HB.CH.VFPCB.QULA.ME 
Mademoiselle Clutch Vertical Quilted Lambskin,Chanel,"
            $1,975
        ",/collections/chanel/products/handbags-chanel-mademoiselle-clutch-vertical-quilted-lambskin5590692,Very good,". Moderate discoloration on base corners, wear and scuffs on exterior and interior opening trim, scratches on hardware.",Black,Leather,Silver,"Dust Bag, Authenticity Card",10745915,"Height 6&quot;, Width 11&quot;, Depth 2&quot;",55906/92,HB.CH.MDMCL.VQLMB 
Paris-Moscow Red Square Tote Quilted Lambskin Medium,Chanel,"
            $2,610
        ",/collections/chanel/products/handbags-chanel-paris-moscow-red-square-tote-quilted-lambskin-medium55906149,Great,". Minor creasing and wear on exterior, scuffs on interior opening trims, scratches on hardware.",Black,Leather,Gun Metal,Authenticity Card,12898658,"Handle Drop 10&quot;, Height 8&quot;, Width 12.5&quot;, Depth 5&quot;",55906/149,HB.CH.PAOW.QULA.ME 
Bindi Tote Quilted Glazed Calfskin with Stingray Large,Chanel,"
            $3,100
        ",/collections/chanel/products/handbags-chanel-bindi-tote-quilted-glazed-calfskin-with-stingray-large5596911,Good,". Moderate creasing on exterior, heavy oil slick discoloration on handles. Scuffs on opening trim, minor wear in interior, scratches on hardware.",Black,"Leather, Stingray",Aged Gold,No Accessories,16608354,,55969/11,HB.CH.BITL.QUST.LG 
Vintage Flap Crossbody Bag Quilted Perforated Lambskin Mini,Chanel,"
            $2,265
        ",/collections/chanel/products/handbags-chanel-vintage-flap-crossbody-bag-quilted-perforated-lambskin-mini55906134,Excellent,". Creasing on exterior and underneath flap, small indentations on interior base, scratches on hardware.",Black,Leather,Silver,No Accessories,11253969,"Height 5.5&quot;, Width 4.5&quot;, Depth 2&quot;, Strap Drop 25&quot;",55906/134,HB.CH.VIFC.QPLA.MI 
Charms Shopping Bag Quilted Aged Calfskin Large,Chanel,"
            $5,435
        ",/collections/chanel/products/handbags-chanel-charms-shopping-bag-quilted-aged-calfskin-large559651,Excellent,". Minimal wear on exterior, scratches on hardware.",Black,Leather,Gold Tone,"Authenticity Card, Dust Bag",29469469,"Handle Drop 2&quot;, Height 14&quot;, Width 13&quot;, Depth 4.5&quot;, Strap Drop 12&quot;",55965/1,HB.CH.CHMR.QAC.LG 
Grand Timeless Shopping Tote Quilted Caviar,Chanel,"
            $1,745
        ",/collections/chanel/products/handbags-chanel-grand-timeless-shopping-tote-quilted-caviar5596940,Good,". Loss of shape on exterior, wear on base and opening corners, indentations and scuffs in interior, scratches on hardware.",Black,Leather,"Gold, Matte",No Accessories,6389042,"Handle Drop 8.5&quot;, Height 9&quot;, Width 13&quot;, Depth 6.5&quot;",55969/40,HB.CH.GTST.QCA 
Vintage Diana Flap Bag Quilted Lambskin Medium,Chanel,"
            $3,345
        ",/collections/chanel/products/handbags-chanel-vintage-diana-flap-bag-quilted-lambskin-medium5596955,Very good,". Moderate scuffs, creasing and indentations on exterior and underneath flap, scratches on hardware.",Black,Leather,Gold,No Accessories,4458122,"Height 6.5&quot;, Width 10&quot;, Depth 3&quot;, Strap Drop 21&quot;",55969/55,HB.CH.VIDF.QULA.ME 
Vintage Classic Double Flap Bag Quilted Lambskin Small,Chanel,"
            $4,000
        ",/collections/chanel/products/handbags-chanel-vintage-classic-double-flap-bag-quilted-lambskin-small5596992,Very good,". Slight creasing and scuffs on exterior, underneath flap and in interior, scratches on hardware.",Black,Leather,Gold,Authenticity Card,1886244,"Handle Drop 9.5&quot;, Height 5.5&quot;, Width 9&quot;, Depth 2.5&quot;, Strap Drop 15.5&quot;",55969/92,HB.CH.VCDFFL.QULA.SM 
Vintage Front Pocket Tote Caviar Medium,Chanel,"
            $1,425
        ",/collections/chanel/products/handbags-chanel-vintage-front-pocket-tote-caviar-medium5596935,Very good,". Wear on base and opening corners, creasing on exterior, minor wear on handles. Wear and scuffs in interior, scratches and discoloration on hardware.",Black,Leather,Gold,No Accessories,3264408,"Handle Drop 13&quot;, Height 10&quot;, Width 12&quot;, Depth 4&quot;",55969/35,HB.CH.VFPTO.CAV.ME 
Timeless Card Case Caviar,Chanel,"
            $850
        ",/collections/chanel/products/handbags-chanel-timeless-card-case-caviar5596994,Pristine,. Scratches on hardware.,Black,Leather,Silver,"Box, Authenticity Card",17172812,"Height 3&quot;, Width 4.5&quot;, Depth 1&quot;",55969/94,AC.CH.TSCE.CAV 
Double Zip Clutch with Pearl Chain Quilted Lambskin,Chanel,"
            $2,565
        ",/collections/chanel/products/handbags-chanel-double-zip-clutch-with-pearl-chain-quilted-lambskin5596975,Great,". Minor creasing on exterior, wear on opening trim, slight discoloration in interior, scratches on hardware.",Black,Leather,Gold Tone,No Accessories,25942400,"Height 4&quot;, Width 7.5&quot;, Depth 2&quot;, Strap Drop 24&quot;",55969/75,HB.CH.DZP.QULA 
Vintage Stitched CC Shoulder Bag Caviar XL,Chanel,"
            $2,185
        ",/collections/chanel/products/handbags-chanel-vintage-stitched-cc-shoulder-bag-caviar-xl5596953,Very good,". Moderate creasing on exterior, wear and discoloration on opening trim. Minor wear in interior, scratches on hardware.",Black,Leather,Gold,"Dust Bag, Authenticity Card",4108018,"Handle Drop 13.5&quot;, Height 12&quot;, Width 12&quot;, Depth 4&quot;",55969/53,HB.CH.VSBC.CAV.XL 
Vintage CC Logo Tote Leather Large,Chanel,"
            $1,925
        ",/collections/chanel/products/handbags-chanel-vintage-cc-logo-tote-leather-large5596957,Great,". Minor scuffs, wear and creasing on exterior and handles. Light wear in interior, scratches on hardware.",Black,Leather,"Black, Matte",No Accessories,6188592,"Handle Drop 12&quot;, Height 11&quot;, Width 14&quot;, Depth 4&quot;",55969/57,HB.CH.VCCLT.LE.LG 
Doudoune Backpack Embossed Nylon Medium,Chanel,"
            $2,890
        ",/collections/chanel/products/handbags-chanel-doudoune-backpack-embossed-nylon-medium555882,Pristine,. No visible signs of wear.,"Blue, Multicolor",Nylon,Aged Silver,"Dust Bag, Authenticity Card",26059588,"Handle Drop 2&quot;, Height 15&quot;, Width 12&quot;, Depth 5&quot;, Strap Drop 9-15&quot;",55588/2,HB.CH.DDBP.EBNY.ME 
Vintage Front Pocket Camera Bag Quilted Lambskin Small,Chanel,"
            $2,665
        ",/collections/chanel/products/handbags-chanel-vintage-front-pocket-camera-bag-quilted-lambskin-small55459101,Very good,". Wear, creasing and minor discoloration on exterior. Light wear in interior, scratches and tarnish on zipper hardware.",Blue,Leather,Gold,No Accessories,0869191,"Height 7&quot;, Width 9&quot;, Depth 2.5&quot;, Strap Drop 17&quot;",55459/101,HB.CH.VFPCB.QULA.SM 
Vintage Classic Double Flap Bag Quilted Lambskin Small,Chanel,"
            $4,015
        ",/collections/chanel/products/handbags-chanel-vintage-classic-double-flap-bag-quilted-lambskin-small55969135,Very good,". Creasing, wear, indentations and scuffs on exterior and underneath flap. Discoloration on strap, wear in interior, scratches on hardware.",Black,Leather,Gold,No Accessories,4386349,"Handle Drop 9.5&quot;, Height 5.5&quot;, Width 9&quot;, Depth 2.5&quot;, Strap Drop 17.5&quot;",55969/135,HB.CH.VCDFFL.QULA.SM 
Vintage Front Pocket Camera Bag Quilted Lambskin Medium,Chanel,"
            $3,150
        ",/collections/chanel/products/handbags-chanel-vintage-front-pocket-camera-bag-quilted-lambskin-medium55969145,Excellent,". Minor wear on opening edge, scratches on hardware.",Black,Leather,Gold,"Box, Authenticity Card",3836157,"Height 7&quot;, Width 10.5&quot;, Depth 3&quot;, Strap Drop 21&quot;",55969/145,HB.CH.VFPCB.QULA.ME 
Vintage Classic Double Flap Bag Quilted Lambskin Small,Chanel,"
            $3,555
        ",/collections/chanel/products/handbags-chanel-vintage-classic-double-flap-bag-quilted-lambskin-small5596995,Good,". Moderate creasing, wear, discoloration, and scuffs on exterior, strap and in interior. Cracking on flap corner wax edges, indentations and scuffs underneath flap and on interior flap, scratches on hardware.",Black,Leather,Gold,"Box, Authenticity Card",0451308,"Handle Drop 8.5&quot;, Height 5.5&quot;, Width 9&quot;, Depth 2.5&quot;, Strap Drop 15&quot;",55969/95,HB.CH.VCDFFL.QULA.SM 
Vintage Square Classic Flap Bag Quilted Lambskin Small,Chanel,"
            $4,745
        ",/collections/chanel/products/handbags-chanel-vintage-square-classic-flap-bag-quilted-lambskin-small55969185,Very good,". Minor wear and discoloration on base corners, indentations and wear on exterior, creasing and scuffs underneath flap, scratches on hardware.",Black,Leather,Gold,Authenticity Card,1598828,"Height 6&quot;, Width 8&quot;, Depth 2.5&quot;, Strap Drop 21&quot;",55969/185,HB.CH.VSQF.QULA.SM 
Trendy CC Flap Bag Quilted Lambskin Medium,Chanel,"
            $2,970
        ",/collections/chanel/products/handbags-chanel-trendy-cc-flap-bag-quilted-lambskin-medium55969194,Good,". Moderate wear and discoloration on base corners, flap edges and rear pocket edge, creasing on exterior and underneath flap, indentations on front underneath flap. Stains and wear in interior, scratches on hardware.",Black,Leather,Gold,No Accessories,21548380,"Handle Drop 13&quot;, Height 7&quot;, Width 10&quot;, Depth 2&quot;",55969/194,HB.CH.TCF.QULA.ME 
Vintage Classic Double Flap Bag Quilted Lambskin Small,Chanel,"
            $4,000
        ",/collections/chanel/products/handbags-chanel-vintage-classic-double-flap-bag-quilted-lambskin-small55969186,Very good,". Discoloration and wear on base corners, scuffs and indentations on exterior and underneath flap, wear in interior, scratches on hardware.",Black,Leather,Gold,No Accessories,0783278,"Handle Drop 10&quot;, Height 5.5&quot;, Width 9&quot;, Depth 2.5&quot;, Strap Drop 17.5&quot;",55969/186,HB.CH.VCDFFL.QULA.SM 
Classic Single Flap Bag Quilted Perforated Leather Jumbo,Chanel,"
            $3,855
        ",/collections/chanel/products/handbags-chanel-classic-single-flap-bag-quilted-perforated-leather-jumbo5581201,Very good,". Minor creasing on exterior, wear on opening and flap edges, scuffs underneath flap. Wear in interior, scratches on hardware.",Blue,Leather,Silver,No Accessories,11245203,"Handle Drop 13&quot;, Height 8&quot;, Width 12&quot;, Depth 3.5&quot;, Strap Drop 25&quot;",55812/01,HB.CH.CSF.QPER.JB 
Valentine Crystal Hearts Flap Bag Quilted Lambskin Medium,Chanel,"
            $4,395
        ",/collections/chanel/products/handbags-chanel-valentine-crystal-hearts-flap-bag-quilted-lambskin-medium55969195,Great,". Minor wear on base and flap corners, creasing and scuffs on exterior and underneath flap. Light wear in interior, scratches on hardware.",Black,Leather,Silver,"Box, Authenticity Card",19207147,"Handle Drop 9&quot;, Height 6&quot;, Width 10&quot;, Depth 3&quot;, Strap Drop 16.5&quot;",55969/195,HB.CH.VHRT.QULA.ME 
Vintage Classic Double Flap Bag Quilted Lambskin Small,Chanel,"
            $4,000
        ",/collections/chanel/products/handbags-chanel-vintage-classic-double-flap-bag-quilted-lambskin-small55969182,Very good,". Moderate scuffs, indentations, creasing and wear on exterior, interior, underneath flap, and on interior flap. Scratches on hardware.",Black,Leather,Gold,Authenticity Card,0580884,"Handle Drop 8.5&quot;, Height 5.5&quot;, Width 9&quot;, Depth 2.5&quot;, Strap Drop 16&quot;",55969/182,HB.CH.VCDFFL.QULA.SM 
Fluo Boy O Case Clutch Quilted Canvas Large,Chanel,"
            $1,160
        ",/collections/chanel/products/handbags-chanel-fluo-boy-o-case-clutch-quilted-canvas-large5576842,Great,". Discoloration along interior opening edges, faint scratches on hardware.",Blue,Canvas Plain,Silver,"Dust Bag, Authenticity Card",22560354,"Height 9.5&quot;, Width 13&quot;, Depth 1&quot;",55768/42,HB.CH.FLHH.QUCV.LG 
Vintage Full Flap Bag Quilted Lambskin Mini,Chanel,"
            $2,910
        ",/collections/chanel/products/handbags-chanel-vintage-full-flap-bag-quilted-lambskin-mini5586655,Very good,". Creasing, scuffs and indentations on exterior and underneath flap, scratches on hardware.",Blue,Leather,Gold,No Accessories,1514263,"Height 4.5&quot;, Width 7.5&quot;, Depth 2.5&quot;, Strap Drop 21&quot;",55866/55,HB.CH.VIFF.QULA.MI 
Deauville Pouch Denim Large,Chanel,"
            $1,130
        ",/collections/chanel/products/handbags-chanel-deauville-pouch-denim-large5569025,Excellent,". Faint wear on exterior and in interior, scratches on hardware.",Blue,Denim,Silver,Authenticity Card,21880138,"Height 9&quot;, Width 13.5&quot;, Depth 0.5&quot;",55690/25,HB.CH.DVLP.DEN.LG 
Rita Tote Quilted Glazed Crackled Calfskin Small,Chanel,"
            $1,470
        ",/collections/chanel/products/handbags-chanel-rita-tote-quilted-glazed-crackled-calfskin-small55969199,Good,". Moderate wear and discoloration on base corners, creasing and minor loss of shape on exterior. Heavy oil slick discoloration along opening edges and handle bases, wear in interior, scratches on hardware.",Black,Leather,Aged Gold,With Strap,15746960,"Handle Drop 5&quot;, Height 9.5&quot;, Width 14&quot;, Depth 5&quot;, Strap Drop 12&quot;",55969/199,HB.CH.RAT.QGCR.SM 
Coco Boy Wallet on Chain Quilted Aged Calfskin,Chanel,"
            $2,485
        ",/collections/chanel/products/handbags-chanel-coco-boy-wallet-on-chain-quilted-aged-calfskin5576851,Great,". Light creasing and wear on exterior, indentations underneath flap due to hardware, scratches on hardware.",Red,Leather,Aged Silver,Authenticity Card,20806213,"Height 5&quot;, Width 7.5&quot;, Depth 1&quot;, Strap Drop 24&quot;",55768/51,HB.CH.COBW.QAC 
Lax Tassel Bag Pebbled Leather Small,Chanel,"
            $920
        ",/collections/chanel/products/handbags-chanel-lax-tassel-bag-pebbled-leather-small559451,Great,". Minor wear on handle wax edges, wear in interior, scratches on hardware.",Pink,Leather,Silver,No Accessories,8533764,"Handle Drop 4&quot;, Height 5.5&quot;, Width 10&quot;, Depth 4.5&quot;",55945/1,HB.CH.LXTB.PBL.SM 
Wallet on Chain Quilted Lambskin,Chanel,"
            $2,125
        ",/collections/chanel/products/handbags-chanel-wallet-on-chain-quilted-lambskin5590666,Fair,". Creasing on exterior and underneath flap, moderate wear and darkening on exterior edges and strap. Wear and scuffs in interior, scratches on hardware.",Red,Leather,Silver,No Accessories,19414331,"Height 5&quot;, Width 7.5&quot;, Depth 1.5&quot;, Strap Drop 24&quot;",55906/66,HB.CH.WOC.QULA 
