productname,brand,price,pagelink,condition,conditiondetails,exteriorcolor,exteriormaterial,hardware,accessories,brandcode,measurements,itemnr,claircode
Vintage Crescent Flap Bag Horizontal Quilted Velvet Medium,Chanel,"
            $2,065
        ",/collections/chanel/products/handbags-chanel-vintage-crescent-flap-bag-horizontal-quilted-velvet-medium5545987,Great,". Minor wear and discoloration on exterior and strap, light wear in interior, scratches on hardware.",Blue,Velvet,Gold,No Accessories,171842,"Height 5&quot;, Width 8&quot;, Depth 2&quot;, Strap Drop 19&quot;",55459/87,HB.CH.VCRF.HORV.ME 
Street Allure Camera Bag Quilted Calfskin,Chanel,"
            $2,615
        ",/collections/chanel/products/handbags-chanel-street-allure-camera-bag-quilted-calfskin554392,Great,". Minor wear on base and opening corners, creasing on exterior, scratches on hardware.","Metallic, Silver",Leather,Silver,Authenticity Card,23641785,"Height 5.5&quot;, Width 7.25&quot;, Depth 2&quot;, Strap Drop 22&quot;",55439/2,HB.CH.STRL.QLC 
Data Center Zip Around Wallet Quilted Printed Lambskin Compact,Chanel,"
            $790
        ",/collections/chanel/products/handbags-chanel-data-center-zip-around-wallet-quilted-printed-lambskin-compact555936,Excellent,. Faint scratches on hardware.,"Black, Multicolor",Leather,Silver,"Box, Authenticity Card, Dust Bag",23635425,"Height 3&quot;, Width 4.5&quot;, Depth 1&quot;",55593/6,AC.CH.DCZA.QPLB.COMP 
Boy Wallet on Chain Chevron Caviar,Chanel,"
            $2,610
        ",/collections/chanel/products/handbags-chanel-boy-wallet-on-chain-chevron-caviar555101,Very good,". Wear and darkening on flap and base corners, minor wear on strap, scuffs and wear in interior, scratches on hardware.",Silver,Leather,Aged Silver,Box,22370508,"Height 5.5&quot;, Width 7.5&quot;, Depth 2&quot;, Strap Drop 25&quot;",55510/1,HB.CH.BWOC.CHCV 
O Case Clutch Crumpled Quilted Calfskin Medium,Chanel,"
            $1,240
        ",/collections/chanel/products/handbags-chanel-o-case-clutch-crumpled-quilted-calfskin-medium5527325,Great,". Loose stitch on base corner, light scratches on hardware.",Silver,Leather,Silver,"Box, Dust Bag, Authenticity Card",24612294,"Height 8&quot;, Width 11&quot;, Depth 1&quot;",55273/25,HB.CH.OCC.CRQN.ME 
Biarritz Pocket Tote Quilted Coated Canvas XL,Chanel,"
            $930
        ",/collections/chanel/products/handbags-chanel-biarritz-pocket-tote-quilted-coated-canvas-xl5490952,Fair,". Wear on base corners, moderate glue stains, creasing and small marks on exterior. Wear and discoloration in interior, scratches on hardware.",Gold,Canvas (Coated),Silver,"Pochette, Authenticity Card",11324143,"Handle Drop 7&quot;, Height 16&quot;, Width 22&quot;, Depth 6&quot;",54909/52,HB.CH.BIPT.QUCC.XL 
Filigree Waist Bag Quilted Caviar,Chanel,"
            $2,900
        ",/collections/chanel/products/handbags-chanel-filigree-waist-bag-quilted-caviar553074,Excellent,. Faint scratches on hardware.,Yellow,Leather,Gold,No Accessories,28576389,"Height 6.5&quot;, Width 12&quot;, Depth 2&quot;, Strap Drop 9-11&quot;",55307/4,HB.CH.FIGR.QCA 
Vintage Logo Flap Messenger Bag Leather Medium,Chanel,"
            $915
        ",/collections/chanel/products/handbags-chanel-vintage-logo-flap-messenger-bag-leather-medium5530229,Very good,". Creasing and scuffs on exterior, strap and underneath flap. Minimal wear in interior, scratches on hardware.","Gold, Metallic",Leather,Gold,No Accessories,5864890,"Height 11&quot;, Width 11&quot;, Depth 2.5&quot;, Strap Drop 21.5&quot;",55302/29,HB.CH.VLFM.LE.ME 
Timeless Wallet on Chain Quilted Stitched Caviar,Chanel,"
            $2,450
        ",/collections/chanel/products/handbags-chanel-timeless-wallet-on-chain-quilted-stitched-caviar554645,Great,". Wear on base and flap corners, indentations on front pocket underneath flap. Minor wear on strap and in interior, scratches on hardware.",Gray,Leather,Silver,No Accessories,19353721,"Height 5&quot;, Width 7.5&quot;, Depth 1.5&quot;, Strap Drop 24.5&quot;",55464/5,HB.CH.WOCT.QSTC 
CC Mania Double Zip Belt Bag Tweed with Lambskin,Chanel,"
            $3,210
        ",/collections/chanel/products/handbags-chanel-cc-mania-double-zip-belt-bag-tweed-with-lambskin554391,Great,". Minor wear on zipper tape and strap, scratches on hardware.","Multicolor, White","Leather, Tweed",Gold Tone,With Strap,27786884,"Height 5&quot;, Width 7.5&quot;, Depth 1.5&quot;, Strap Drop 12-14&quot;",55439/1,HB.CH.MNZB.TWLB 
Beach Tote Printed Terry Cloth Large,Chanel,"
            $1,160
        ",/collections/chanel/products/handbags-chanel-beach-tote-printed-terry-cloth-large5490973,Excellent,. Minor wear in interior.,"Multi Color, White",Textile,,Towel,No code,"Handle Drop 8&quot;, Height 17&quot;, Width 17&quot;, Depth 4&quot;",54909/73,HB.CH.BITO.PRTC.LG 
Gabrielle Hobo Quilted Tweed and Calfskin Small,Chanel,"
            $3,625
        ",/collections/chanel/products/handbags-chanel-gabrielle-hobo-quilted-tweed-and-calfskin-small5527329,Excellent,". Light indentations on base, scratches on hardware.",Green,"Leather, Textile",Aged Silver,"Box, Dust Bag, Authenticity Card",27393884,"Handle Drop 16&quot;, Height 5.5&quot;, Width 8&quot;, Depth 3&quot;, Strap Drop 23&quot;",55273/29,HB.CH.GBHB.QUCL.SM 
Beach Tote Quilted Printed Terry Cloth Large,Chanel,"
            $1,380
        ",/collections/chanel/products/handbags-chanel-beach-tote-quilted-printed-terry-cloth-large5517456,Great,". Moderate discoloration on exterior and handles, minor wear in interior, scratches on hardware.","Black, Green, Multicolor, Pink",Fabric,Gold Tone,Authenticity Card,11344072,"Handle Drop 9&quot;, Height 12&quot;, Width 18&quot;, Depth 5.5&quot;",55174/56,HB.CH.BITO.QPTC.LG 
Vintage Kisslock Frame Shoulder Bag Printed Canvas Large,Chanel,"
            $720
        ",/collections/chanel/products/handbags-chanel-vintage-kisslock-frame-shoulder-bag-printed-canvas-large5530219,Good,". Darkening and wear on base and corners, wear in interior, scratches on hardware.","Multicolor, Pink, Purple",Canvas Plain,Gun Metal,Authenticity Card,6484401,"Handle Drop 8.5&quot;, Height 10.5&quot;, Width 14.5&quot;, Depth 2&quot;",55302/19,HB.CH.VKFS.PRC.LG 
Double Zip Clutch with Chain Quilted Caviar,Chanel,"
            $1,740
        ",/collections/chanel/products/handbags-chanel-double-zip-clutch-with-chain-quilted-caviar552447,Excellent,. Faint scratches on hardware.,Green,Leather,Gold Tone,"Authenticity Card, With Strap",22971323,"Height 4&quot;, Width 7.5&quot;, Depth 1&quot;, Strap Drop 23&quot;",55244/7,HB.CH.DZOC.QCA 
Mineral Nights Flap Evening Bag Metallic and Quilted Leather,Chanel,"
            $1,655
        ",/collections/chanel/products/handbags-chanel-mineral-nights-flap-evening-bag-metallic-and-quilted-leather5490940,Great,". Minor wear on base and front corners, creasing on rear, scratches on hardware.","Black, Gold, Multicolor",Leather,Gun Metal,"Authenticity Card, Dust Bag",17204535,"Handle Drop 7&quot;, Height 5.5&quot;, Width 8.5&quot;, Depth 1&quot;",54909/40,HB.CH.MNFEBG.MQL 
