productname,brand,price,pagelink,condition,conditiondetails,exteriorcolor,exteriormaterial,hardware,accessories,brandcode,measurements,itemnr,claircode,fulldescr
Convertible Duffle Bag GG Coated Canvas Large,Gucci,"
            $1,595
        ",/collections/gucci/products/handbags-gucci-convertible-duffle-bag-gg-coated-canvas-large5530211,Great,". Light scuffs on leather trims, minimal wear in interior, scratches on hardware.",Blue,Canvas (Coated),"Silver Clair Code: HB.GC.CODU.GCCV.LG Item Number: 55302/11"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/55302-11_20Gucci_20Convertible_20Duffle_20Bag_20GG_20Coated_20Ca_2D_0002_grande.jpg?v=1586466981"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1595"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-convertible-duffle-bag-gg-coated-canvas-large5530211?variant=31517503127622""
            }}
</script>
","Keys, Luggage Tag, Dust Bag, Clochette, With Strap",,"Handle Drop 5&quot;, Height 11.5&quot;, Width 19.5&quot;, Depth 10.5&quot;, Strap Drop 17-27&quot;",55302/11,HB.GC.CODU.GCCV.LG ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $1,950Condition: Great. Light scuffs on leather trims, minimal wear in interior, scratches on hardware.  Accessories: Keys, Luggage Tag, Dust Bag, Clochette, With Strap  Measurements: Handle Drop 5&quot;, Height 11.5&quot;, Width 19.5&quot;, Depth 10.5&quot;, Strap Drop 17-27&quot; Designer: Gucci Model: Convertible Duffle Bag GG Coated Canvas Large Exterior Material: Canvas (Coated) Exterior Color: Blue Interior Material: Fabric Interior Color: Black Hardware Color: Silver Clair Code: HB.GC.CODU.GCCV.LG Item Number: 55302/11"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/55302-11_20Gucci_20Convertible_20Duffle_20Bag_20GG_20Coated_20Ca_2D_0002_grande.jpg?v=1586466981"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1595"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-convertible-duffle-bag-gg-coated-canvas-large5530211?variant=31517503127622""
            }}
</script>
"
Bamboo Daily Top Handle Bag Leather Small,Gucci,"
            $695
        ",/collections/gucci/products/handbags-gucci-bamboo-daily-top-handle-bag-leather-small5507887,Good,". Moderate wear on exterior corners and closure trim, creasing near base, glue stain on front near base. Cracking and splitting on handle, light cracking on flap and side opening wax edges, minor wear in interior, scratches on hardware.",Pink,Leather,"Silver Clair Code: HB.GC.BDTH.LE.SM Item Number: 55078/87"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/55078-87_20Gucci_20Bamboo_20Daily_20Top_20Handle_20Bag_20Leather_2D_0002_grande.jpg?v=1586466093"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""695"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-bamboo-daily-top-handle-bag-leather-small5507887?variant=31517467246662""
            }}
</script>
","Dust Bag, With Strap",,"Handle Drop 4&quot;, Height 8&quot;, Width 11&quot;, Depth 4&quot;, Strap Drop 18-20&quot;",55078/87,HB.GC.BDTH.LE.SM ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $1,650Condition: Good. Moderate wear on exterior corners and closure trim, creasing near base, glue stain on front near base. Cracking and splitting on handle, light cracking on flap and side opening wax edges, minor wear in interior, scratches on hardware.  Accessories: Dust Bag, With Strap  Measurements: Handle Drop 4&quot;, Height 8&quot;, Width 11&quot;, Depth 4&quot;, Strap Drop 18-20&quot; Designer: Gucci Model: Bamboo Daily Top Handle Bag Leather Small Exterior Material: Leather Exterior Color: Pink Interior Material: Fabric Interior Color: Neutral Hardware Color: Silver Clair Code: HB.GC.BDTH.LE.SM Item Number: 55078/87"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/55078-87_20Gucci_20Bamboo_20Daily_20Top_20Handle_20Bag_20Leather_2D_0002_grande.jpg?v=1586466093"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""695"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-bamboo-daily-top-handle-bag-leather-small5507887?variant=31517467246662""
            }}
</script>
"
1973 Chain Shoulder Bag Leather Small,Gucci,"
            $575
        ",/collections/gucci/products/handbags-gucci-1973-chain-shoulder-bag-leather-small554621,Great,". Minor wear on base corners and in interior, small marks on exterior, scratches on hardware.","Metallic, Neutral",Leather,"Gold Clair Code: HB.GC.1973CB.LE.SM Item Number: 55462/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/55462-1_20Gucci_201973_20Chain_20Shoulder_20Bag_20Leather_20Smal_2D_0002_grande.jpg?v=1586470050"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""575"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-1973-chain-shoulder-bag-leather-small554621?variant=31517654908998""
            }}
</script>
",No Accessories,,"Height 5.5&quot;, Width 6.5&quot;, Depth 2&quot;, Strap Drop 24.5&quot;",55462/1,HB.GC.1973CB.LE.SM ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $850Condition: Great. Minor wear on base corners and in interior, small marks on exterior, scratches on hardware.  Accessories: No Accessories  Measurements: Height 5.5&quot;, Width 6.5&quot;, Depth 2&quot;, Strap Drop 24.5&quot; Designer: Gucci Model: 1973 Chain Shoulder Bag Leather Small Exterior Material: Leather Exterior Color: Metallic, Neutral Interior Material: Microfiber Interior Color: Neutral Hardware Color: Gold Clair Code: HB.GC.1973CB.LE.SM Item Number: 55462/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/55462-1_20Gucci_201973_20Chain_20Shoulder_20Bag_20Leather_20Smal_2D_0002_grande.jpg?v=1586470050"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""575"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-1973-chain-shoulder-bag-leather-small554621?variant=31517654908998""
            }}
</script>
"
Bamboo Shopper Tote Leather Small,Gucci,"
            $680
        ",/collections/gucci/products/handbags-gucci-bamboo-shopper-tote-leather-small5561281,Very good,". Minor wear on base corners, moderate creasing on exterior, small marks on front. Broken stitch on rear opening corner, scratches on hardware.",Pink,Leather,"Gold Tone Clair Code: HB.GC.BST.LE.SM Item Number: 55612/81"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/55612-81_20Gucci_20Bamboo_20Shopper_20Tote_20Leather_20Small_2D_0002_grande.jpg?v=1586469890"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""680"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-bamboo-shopper-tote-leather-small5561281?variant=31517647863878""
            }}
</script>
","Dust Bag, With Strap",,"Handle Drop 4&quot;, Height 9.5&quot;, Width 11&quot;, Depth 3.5&quot;, Strap Drop 17-21&quot;",55612/81,HB.GC.BST.LE.SM ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $1,840Condition: Very good. Minor wear on base corners, moderate creasing on exterior, small marks on front. Broken stitch on rear opening corner, scratches on hardware.  Accessories: Dust Bag, With Strap  Measurements: Handle Drop 4&quot;, Height 9.5&quot;, Width 11&quot;, Depth 3.5&quot;, Strap Drop 17-21&quot; Designer: Gucci Model: Bamboo Shopper Tote Leather Small Exterior Material: Leather Exterior Color: Pink Interior Material: Fabric Interior Color: Neutral Hardware Color: Gold Tone Clair Code: HB.GC.BST.LE.SM Item Number: 55612/81"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/55612-81_20Gucci_20Bamboo_20Shopper_20Tote_20Leather_20Small_2D_0002_grande.jpg?v=1586469890"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""680"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-bamboo-shopper-tote-leather-small5561281?variant=31517647863878""
            }}
</script>
"
GG Marmont Chain Wallet Embellished Leather Mini,Gucci,"
            $1,420
        ",/collections/gucci/products/handbags-gucci-gg-marmont-chain-wallet-embellished-leather-mini556811,Very good,". Wear on exterior corners and flap edges, small glue stain on front pocket corner underneath flap, scratches on hardware.",Purple,Leather,"Aged Gold Clair Code: HB.GC.GMCW.EMBL.MI Item Number: 55681/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/55681-1_20Gucci_20GG_20Marmont_20Chain_20Wallet_20Embellished_2D_0002_grande.jpg?v=1586468325"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1420"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-gg-marmont-chain-wallet-embellished-leather-mini556811?variant=31517569122374""
            }}
</script>
","Box, With Strap",,"Height 5&quot;, Width 8&quot;, Depth 1.5&quot;, Strap Drop 23&quot;",55681/1,HB.GC.GMCW.EMBL.MI ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $1,700Condition: Very good. Wear on exterior corners and flap edges, small glue stain on front pocket corner underneath flap, scratches on hardware.  Accessories: Box, With Strap  Measurements: Height 5&quot;, Width 8&quot;, Depth 1.5&quot;, Strap Drop 23&quot; Designer: Gucci Model: GG Marmont Chain Wallet Embellished Leather Mini Exterior Material: Leather Exterior Color: Purple Interior Material: Fabric Interior Color: Brown Hardware Color: Aged Gold Clair Code: HB.GC.GMCW.EMBL.MI Item Number: 55681/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/55681-1_20Gucci_20GG_20Marmont_20Chain_20Wallet_20Embellished_2D_0002_grande.jpg?v=1586468325"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1420"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-gg-marmont-chain-wallet-embellished-leather-mini556811?variant=31517569122374""
            }}
</script>
"
Sylvie Belt Bag Embroidered Leather,Gucci,"
            $1,380
        ",/collections/gucci/products/handbags-gucci-sylvie-belt-bag-embroidered-leather557111,Excellent,". Small scuff on opening trim wax edge, scratches on hardware.",Brown,Leather,"Gold Clair Code: HB.GC.SYBB.EBLT Item Number: 55711/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/55711-1_20Gucci_20Sylvie_20Belt_20Bag_20Embroidered_20Leather_2D_0002_grande.jpg?v=1586466425"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1380"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-sylvie-belt-bag-embroidered-leather557111?variant=31517485891654""
            }}
</script>
",With Strap,,"Height 6.5&quot;, Width 9&quot;, Depth 1.5&quot;, Strap Drop 8-13&quot;",55711/1,HB.GC.SYBB.EBLT ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $2,230Condition: Excellent. Small scuff on opening trim wax edge, scratches on hardware.  Accessories: With Strap  Measurements: Height 6.5&quot;, Width 9&quot;, Depth 1.5&quot;, Strap Drop 8-13&quot; Designer: Gucci Model: Sylvie Belt Bag Embroidered Leather Exterior Material: Leather Exterior Color: Brown Interior Material: Fabric Interior Color: Neutral, Print Hardware Color: Gold Clair Code: HB.GC.SYBB.EBLT Item Number: 55711/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/55711-1_20Gucci_20Sylvie_20Belt_20Bag_20Embroidered_20Leather_2D_0002_grande.jpg?v=1586466425"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1380"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-sylvie-belt-bag-embroidered-leather557111?variant=31517485891654""
            }}
</script>
"
Totem Top Handle Bag Leather Medium,Gucci,"
            $2,130
        ",/collections/gucci/products/handbags-gucci-totem-top-handle-bag-leather-medium5394387,Great,". Creasing on handles, small mark on rear, light wear in interior, scratches on hardware.",Neutral,Leather,"Aged Gold Clair Code: HB.GC.TTMT.LE.ME Item Number: 53943/87"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/53943-87_20Gucci_20Totem_20Top_20Handle_20Bag_20Leather_20Medium_2D_0002_grande.jpg?v=1586550904"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""2130"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-totem-top-handle-bag-leather-medium5394387?variant=31521811759174""
            }}
</script>
",With Strap,,"Handle Drop 6&quot;, Height 9&quot;, Width 11.5&quot;, Depth 5&quot;, Strap Drop 20&quot;",53943/87,HB.GC.TTMT.LE.ME ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $3,490Condition: Great. Creasing on handles, small mark on rear, light wear in interior, scratches on hardware.  Accessories: With Strap  Measurements: Handle Drop 6&quot;, Height 9&quot;, Width 11.5&quot;, Depth 5&quot;, Strap Drop 20&quot; Designer: Gucci Model: Totem Top Handle Bag Leather Medium Exterior Material: Leather Exterior Color: Neutral Interior Material: Microfiber Interior Color: Neutral Hardware Color: Aged Gold Clair Code: HB.GC.TTMT.LE.ME Item Number: 53943/87"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/53943-87_20Gucci_20Totem_20Top_20Handle_20Bag_20Leather_20Medium_2D_0002_grande.jpg?v=1586550904"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""2130"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-totem-top-handle-bag-leather-medium5394387?variant=31521811759174""
            }}
</script>
"
Rajah Chain Tote GG Tweed Large,Gucci,"
            $1,995
        ",/collections/gucci/products/handbags-gucci-rajah-chain-tote-gg-tweed-large50824135,Great,". Slight darkening on exterior, small marks in interior, scratches on hardware.","Red, White",Tweed,"Gold Clair Code: HB.GC.DARW.GTW.LG Item Number: 50824/135"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/50824-135_Gucci_Rajah_Chain_Tote_GG_Tweed_Large_2D_0002_grande.jpg?v=1578999561"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1995"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-rajah-chain-tote-gg-tweed-large50824135?variant=31305792553030""
            }}
</script>
",Pochette,,"Handle Drop 10&quot;, Height 13&quot;, Width 17&quot;, Depth 2.5&quot;",50824/135,HB.GC.DARW.GTW.LG ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $2,400Condition: Great. Slight darkening on exterior, small marks in interior, scratches on hardware.  Accessories: Pochette  Measurements: Handle Drop 10&quot;, Height 13&quot;, Width 17&quot;, Depth 2.5&quot; Designer: Gucci Model: Rajah Chain Tote GG Tweed Large Exterior Material: Tweed Exterior Color: Red, White Interior Material: Microfiber Interior Color: Neutral Hardware Color: Gold Clair Code: HB.GC.DARW.GTW.LG Item Number: 50824/135"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/50824-135_Gucci_Rajah_Chain_Tote_GG_Tweed_Large_2D_0002_grande.jpg?v=1578999561"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1995"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-rajah-chain-tote-gg-tweed-large50824135?variant=31305792553030""
            }}
</script>
"
Signature Slim Crossbody Bag Guccissima Leather Small,Gucci,"
            $1,175
        ",/collections/gucci/products/handbags-gucci-signature-slim-crossbody-bag-guccissima-leather-small545331,Very good,". Minor wear on base corners, scuffs on exterior, slight creasing on exterior near base. Slight pilling on strap, wear and small stain in interior, scratches on hardware.",Blue,Leather,"Silver Clair Code: HB.GC.SLCR.GCL.SM Item Number: 54533/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/54533-1_20Gucci_20Signature_20Slim_20Crossbody_20Bag_20Gucciss_2D_0002_grande.jpg?v=1584117643"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1175"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-signature-slim-crossbody-bag-guccissima-leather-small545331?variant=31432066236486""
            }}
</script>
",No Accessories,,"Height 14&quot;, Width 8&quot;, Depth 4&quot;, Strap Drop 13-17&quot;",54533/1,HB.GC.SLCR.GCL.SM ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $1,590Condition: Very good. Minor wear on base corners, scuffs on exterior, slight creasing on exterior near base. Slight pilling on strap, wear and small stain in interior, scratches on hardware.  Accessories: No Accessories  Measurements: Height 14&quot;, Width 8&quot;, Depth 4&quot;, Strap Drop 13-17&quot; Designer: Gucci Model: Signature Slim Crossbody Bag Guccissima Leather Small Exterior Material: Leather Exterior Color: Blue Interior Material: Microfiber Interior Color: Gray Hardware Color: Silver Clair Code: HB.GC.SLCR.GCL.SM Item Number: 54533/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/54533-1_20Gucci_20Signature_20Slim_20Crossbody_20Bag_20Gucciss_2D_0002_grande.jpg?v=1584117643"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1175"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-signature-slim-crossbody-bag-guccissima-leather-small545331?variant=31432066236486""
            }}
</script>
"
Dionysus Bag Suede Medium,Gucci,"
            $1,380
        ",/collections/gucci/products/handbags-gucci-dionysus-bag-suede-medium498631,Very good,". Scuffs, wear and piling on exterior, minor bubbling underneath flap, minimal wear on opening corner and flap base wax edges, scratches on hardware.",Black,Suede,"Aged Silver Clair Code: HB.GC.DYS.SUD.ME Item Number: 49863/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/49863-1_20Gucci_20Dionysus_20Bag_20Suede_20Medium_2D_0002_grande.jpg?v=1575953361"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1380"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-dionysus-bag-suede-medium498631?variant=31241062711366""
            }}
</script>
",Dust Bag,,"Handle Drop 8.5&quot;, Height 8.5&quot;, Width 11.5&quot;, Depth 2.5&quot;, Strap Drop 14.5&quot;",49863/1,HB.GC.DYS.SUD.ME ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $2,650Condition: Very good. Scuffs, wear and piling on exterior, minor bubbling underneath flap, minimal wear on opening corner and flap base wax edges, scratches on hardware.  Accessories: Dust Bag  Measurements: Handle Drop 8.5&quot;, Height 8.5&quot;, Width 11.5&quot;, Depth 2.5&quot;, Strap Drop 14.5&quot; Designer: Gucci Model: Dionysus Bag Suede Medium Exterior Material: Suede Exterior Color: Black Interior Material: Leather Interior Color: Black Hardware Color: Aged Silver Clair Code: HB.GC.DYS.SUD.ME Item Number: 49863/1"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/49863-1_20Gucci_20Dionysus_20Bag_20Suede_20Medium_2D_0002_grande.jpg?v=1575953361"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1380"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-dionysus-bag-suede-medium498631?variant=31241062711366""
            }}
</script>
"
Web Heart GG Marmont Backpack Leather,Gucci,"
            $2,000
        ",/collections/gucci/products/handbags-gucci-web-heart-gg-marmont-backpack-leather503918,Very good,". Creasing, scuffs and wear on exterior and underneath flap, minor wear in interior, scratches on hardware.",Black,Leather,"Aged Gold Clair Code: HB.GC.WHMB.LE Item Number: 50391/8"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/50391-8_20Gucci_20Web_20Heart_20GG_20Marmont_20Backpack_20Leathe_2D_0002_grande.jpg?v=1587397517"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""2000"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-web-heart-gg-marmont-backpack-leather503918?variant=31567771304006""
            }}
</script>
",No Accessories,,"Handle Drop 2&quot;, Height 10&quot;, Width 11.5&quot;, Depth 5&quot;, Strap Drop 13&quot;",50391/8,HB.GC.WHMB.LE ," These are professional pictures of the actual bag offered by Rebag. Estimated Retail Price: $2,290Condition: Very good. Creasing, scuffs and wear on exterior and underneath flap, minor wear in interior, scratches on hardware.  Accessories: No Accessories  Measurements: Handle Drop 2&quot;, Height 10&quot;, Width 11.5&quot;, Depth 5&quot;, Strap Drop 13&quot; Designer: Gucci Model: Web Heart GG Marmont Backpack Leather Exterior Material: Leather Exterior Color: Black Interior Material: Fabric Interior Color: Neutral Hardware Color: Aged Gold Clair Code: HB.GC.WHMB.LE Item Number: 50391/8"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/50391-8_20Gucci_20Web_20Heart_20GG_20Marmont_20Backpack_20Leathe_2D_0002_grande.jpg?v=1587397517"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""2000"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-web-heart-gg-marmont-backpack-leather503918?variant=31567771304006""
            }}
</script>
"
Dionysus Chain Wallet Leather with Embellished Detail Small,Gucci,"
            $1,550
        ",/collections/gucci/products/handbags-gucci-dionysus-chain-wallet-leather-with-embellished-detail-small504545,Very good,". Minor wear on base corners and in interior, cracking on flap corner wax edges, scratches on hardware.",Black,Leather,"Aged Silver Clair Code: HB.GC.SCHW.LEBT.SM Item Number: 50454/5"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/50454-5_20Gucci_20Dionysus_20Chain_20Wallet_20Leather_20with_20E_2D_0002_grande.jpg?v=1587397539"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1550"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-dionysus-chain-wallet-leather-with-embellished-detail-small504545?variant=31567771598918""
            }}
</script>
","Dust Bag, With Strap",,,50454/5,HB.GC.SCHW.LEBT.SM ," These are professional pictures of the actual bag offered by Rebag. Condition: Very good. Minor wear on base corners and in interior, cracking on flap corner wax edges, scratches on hardware.  Accessories: Dust Bag, With Strap  Measurements:  Designer: Gucci Model: Dionysus Chain Wallet Leather with Embellished Detail Small Exterior Material: Leather Exterior Color: Black Interior Material: Fabric, Leather Interior Color: Black Hardware Color: Aged Silver Clair Code: HB.GC.SCHW.LEBT.SM Item Number: 50454/5"",
        ""image"": ""https://cdn.shopify.com/s/files/1/0384/0161/products/50454-5_20Gucci_20Dionysus_20Chain_20Wallet_20Leather_20with_20E_2D_0002_grande.jpg?v=1587397539"",
        
            ""offers"": {
                ""@type"" : ""Offer"",
                ""priceCurrency"": ""USD"",
                ""price"": ""1550"",
                ""itemCondition"" : ""http://schema.org/UsedCondition"",
                ""availability"" : ""http://schema.org/InStock"",
                ""url"" : ""https://shop.rebag.com/products/handbags-gucci-dionysus-chain-wallet-leather-with-embellished-detail-small504545?variant=31567771598918""
            }}
</script>
"
