prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
LOUIS VUITTON BUCKET GM SHOULDER TOTE BAG MONOGRAM M42236,/collections/louis-vuitton/products/ao22730,"138,000",AR 0091,"W 10.6 x H 14.2 x D 8.1 ""

Shoulder Drop. 6.3 - 12.2 ""","Brown/ Monogram Canvas, Leather","Pouch, Dust Bag","Good Condition

Suntanned, Stain, Minor crack",Excellent Condition,-,-,AO22730
LOUIS VUITTON ALZER 60 TRUNK HARD CASE EPI BLACK,/collections/louis-vuitton/products/ao22605,"298,000",1005317,"W 23.6 x H 7.1 x D 19.3 ""

Handle Drop. 2.4 """,Black/ Epi Leather,"Key*1, Hanger*4","There is sign of use overall

Scratches，Dirt","There is sign of use overall

Dirt

Metal fittings: Discoloration, Missing",-,-,AO22605
LOUIS VUITTON MABILLON BACKPACK BAG EPI RED M52237,/collections/louis-vuitton/products/ao22517,"79,800",-,"W 8.3 x H 11.0 x D 3.5 ""

Strap total length. 25.6 - 28.7 """,Red/ Epi Leather,-,Excellent Condition,Excellent Condition,Peeled and stickiness(JUNK Condition),-,AO22517
LOUIS VUITTON MALESHERBES HAND BAG MONOGRAM M51379,/collections/louis-vuitton/products/ao22516,"128,000",MI 0922,"W 10.2 x H 8.3 x D 2.4 ""

Handle Drop. 5.1 ""","Brown/ Monogram Canvas, Leather",-,"Good Condition

Handle: Lose shape","Good Condition

Side: Crack",-,-,AO22516
LOUIS VUITTON PACKALL SAC A DOS 3WAY HAND BAG MONOGRAM M51132,/collections/louis-vuitton/products/ao22515,"148,000",BA 0021,"W 11.0 x H 13.0 x D 4.7 ""

Handle Drop. 1.2 ""

Strap total length. 20.1 ""","Brown/ Monogram Canvas, Leather","Shoulder Strap, Dust Bag","Good Condition

Stains",Excellent Condition,-,-,AO22515
LOUIS VUITTON TROTTEUR SHOULDER BAG MONOGRAM PANDA M51241 TAKASHI MURAKAMI,/collections/louis-vuitton/products/ao22513,"168,000",AR 0094,"W 8.7 x H 5.1 x D 3.0 ""

Strap Drop. 17.7 - 20.1 ""","Brown/ Monogram Panda Canvas, Leather",Dust Bag,"Good Condition

Scratches, Stains, Scuff","Good Condition

Dirt",-,-,AO22513
LOUIS VUITTON BOITE A TOUT JEWELRY BOX MONOGRAM SP ORDER,/collections/louis-vuitton/products/ao22415,"228,000",-,"W 8.7 x H 3.7 x D 5.7 ""

Handle Drop. 1.2 ""","Brown/ Monogram Canvas, Leather","Cover of Key, Keys*2","Good Condition

Metal fittings: Rust",Good Condition,-,-,AO22415
LOUIS VUITTON PRISCILLA HAND BAG WHITE MONOGRAM MULTI M40096,/collections/louis-vuitton/products/ao22414,"248,000",SP 4017,"W 10.2 x H 8.3 x D 7.1 ""

Handle Drop. 4.3 ""","White, etc./ Monogram Multi-color Canvas, Leather","Manual, Dust Bag, Box",Excellent Condition,Excellent Condition,-,-,AO22414
LOUIS VUITTON PETIT NOE DRAWSTRING SHOULDER BAG EPI BI-COLOR M44172,/collections/louis-vuitton/products/ao22413,"98,000",A21923,"W 10.2 x H 10.6 x D 7.5 ""

Shoulder Drop. 8.7 - 11.8 ""","Red, Black/ Epi Leather",-,Excellent Condition,"Good Condition

Dirt",-,-,AO22413
LOUIS VUITTON POCHETTE MONTAIGNE SHOULDER BAG EPI CASSIS M5929K,/collections/louis-vuitton/products/ao22367,"89,800",TH 3098,"W 9.8 x H 4.3 x D 2.4 ""

Strap Drop. 7.1 - 8.7 "" ",Cassis/ Epi Leather,Dust Bag,"Excellent Condition

Minor Scratches",Excellent Condition,-,-,AO22367
LOUIS VUITTON FLEURS LEXINGTON HAND BAG VERNIS ORANGE M92247,/collections/louis-vuitton/products/ao22320,"59,800",VI 0012,"W 7.9 x H 4.5 x D 1.4 ""

Handle Drop. 6.3 ""","Orange, etc./ Patent Leather, Leather",-,"Good Condition
Metal fittings: Rust","Good Condition
Metal fittings: Rust",-,-,AO22320
LOUIS VUITTON POCHETTE ACCESSOIRES SHOULDER BAG MONOGRAM MULTI M92649,/collections/louis-vuitton/products/ao22319,"148,000",CA 0034,"W 8.5 x H 5.1 x D 1.6 ""

Strap Drop. 23.6 ""","White, etc./ Monogram Multi-Color Canvas, Leather",-,"There is sign of use overall

Strap: Crack",Good Condition,-,Smell of perfume,AO22319
LOUIS VUITTON SOLOGNE SHOULDER BAG BLACK MONOGRAM MULTI M92639,/collections/louis-vuitton/products/ao22308,"298,000",VI 0094,"W 10.2 x H 7.9 x D 3.1 ""

Strap Drop. 19.3 - 23.2 ""","Black, etc./ Monogram Multi-Color Canvas, Leather","Manual, Dust Bag, Box",Excellent Condition,Excellent Condition,-,-,AO22308
LOUIS VUITTON ALMA HAND BAG EPI RED M4058E,/collections/louis-vuitton/products/ao22306,"89,800",AR 0996,"W 12.0 x H 9.4 x D 6.5 ""

Handle Drop. 3.1 """,Red/ Epi Leather,-,Good Condition,Good Condition,-,-,AO22306
LOUIS VUITTON LITTLE BUCKET MINI HAND BAG BLACK MONOGRAM SATIN M92144,/collections/louis-vuitton/products/ao22077,"89,800",SR 0071,"W 4.7 x H 5.1 x D 3.1 ""

Handle Drop. 4.3 - 6.3 ""","Black/ Monogram Satin, Leather",-,Excellent Condition,Excellent Condition,-,-,AO22077
LOUIS VUITTON BAGGY GM SHOULDER BAG INDIGO MONOGRAM DENIM M95048,/collections/louis-vuitton/products/ao22007,"148,000",FL 1015(Bag) / FL 1005(Strap),"W 12.6 x H 13.0 x D 3.9 ""

Strap Drop. 19.7 - 25.6 ""","Indigo, Brown/ Monogram Denim, Leather","Manual, Dust Bag",Excellent Condition,Excellent Condition,-,-,AO22007
