productname,productpage,price,brand,estretailpr,itemnr,category,length,height,width,drop,year,acc_included,description,condition,cond_ext,cond_hw,cond_handle,cond_int,cond_other
Lambskin Quilted XL Jumbo Single Flap Black,https://www.fashionphile.com/chanel-lambskin-quilted-xl-jumbo-single-flap-black-492690,"
                                                    $3,095                                            ",Chanel,,492690,Crossbody,13.25 ,9 ,3.75 ,24 ,1994,authenticity card,"We guarantee this is an authentic CHANEL Lambskin Quilted XL Jumbo Single Flap Black or 100% of your money back. This stunning classic flap bag is finely crafted of quilted luxurious black lambskin leather. The bag features a gold chain-link shoulder straps threaded with black leather, a frontal flap, and an oversized gold plated CC Chanel turn lock. This opens to a burgundy leather interior with zipper and patch pockets. This is a gorgeous bag that is ideal for day or evening, from Chanel!",Very G,"Warped or bent, creases, scuffs , marks, imprints",Scratch(es),"Edge wear , scuffs , scratches","Residue marks , scuffs , musty odor, imprints, edge wea",
Patent Calfskin Canvas Printed Medium 31 Shopping Bag Black,https://www.fashionphile.com/chanel-patent-calfskin-canvas-printed-medium-31-shopping-bag-black-504499,"
                                                    $2,850                                            ",Chanel,"3,700",504499,Handbags,15.75 ,12.75 ,3.25 ,16.25 ,2018,"authenticity card, dust bag, retail tags attached","We guarantee this is an authentic CHANEL Patent Calfskin Canvas Printed Medium 31 Shopping Bag Black or 100% of your money back. This stylish tote is crafted of padded diamond quilted fabric in black and white with
black leather trim. The bag features black handles, a long black rolled shoulder strap, and a light gold Chanel CC turn lock. The top is open to a fabric interior with zipper pockets. This spectacular handbag is ideal for all your necessities, with the timeless style of Chanel! ",New,,Protective plastic sticker(s) intact,,,
Jersey Quilted Chocolate Bar Shoulder Bag Black,https://www.fashionphile.com/chanel-jersey-quilted-chocolate-bar-shoulder-bag-black-504949,"
                                                    $995                                            ",Chanel,,504949,Shoulder Bags,11 ,5.5 ,3.75 ,7.75 ,2003,,We guarantee this is an authentic CHANEL Jersey Quilted Chocolate Bar Shoulder Bag Black or 100% of your money back. This vintage classic has a distinctive square quilt made of jersey. The bag features complimentary black chain link shoulder straps with leather shoulder pads and the zip top opens to a fabric interior. This shoulder bag is ideal for everyday use with the timeless style only from Chanel!,Very G,"Corner wear, creases, scuffs , structure wear , pilling","Plating wear , faint scratch(es)","Creases, scuffs",Musty od,
Iridescent Goatskin Quilted Medium Double Flap Purple,https://www.fashionphile.com/chanel-iridescent-goatskin-quilted-medium-double-flap-purple-505360,"
                                                    $6,095                                            ",Chanel,,505360,Handbags,10 ,6.5 ,2.5 ,9.25 ,2016,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Iridescent Goatskin Quilted Medium Double Flap Purple or 100% of your money back. This classic flap bag is crafted of diamond-quilted iridescent goatskin leather. It features leather-threaded iridescent chain link shoulder straps, an exterior rear patch pocket and a front flap with an iridescent ruthenium CC turn lock. This opens to a second flap and a purple leather interior with patch pockets. This is a perfect shoulder bag for all occasions, from Chanel!",Excell,,,Edge wear,mprints,
Lambskin Quilted Small Trendy CC Flap Dual Handle Bag Light Pink,https://www.fashionphile.com/chanel-lambskin-quilted-small-trendy-cc-flap-dual-handle-bag-light-pink-505419,"
                                                    $5,295                                            ",Chanel,"5,600",505419,Handbags,10.25 ,6.5 ,3 ,19.5 ,2014,"box, dust bag, authenticity card, strap","We guarantee this is an authentic CHANEL Lambskin Quilted Small Trendy CC Flap Dual Handle Bag Light Pink or 100% of your money back. This stylish handbag is crafted of diamond quilted lambskin leather in pink. The refined bag features a reinforced leather top handle with a gold bar with Chanel logo and gold links, a gold chain leather threaded shoulder strap with a shoulder pad, and a gold Chanel CC logo on the front flap. This opens to a partitioned burgundy leather interior with zipper and patch pockets. This elegant handbag is ideal for any occasion with a timeless style, from Chanel.  ",Excell,,Faint scratch(es),,,
Aged Calfskin Quilted 2.55 Reissue 224 Flap,https://www.fashionphile.com/chanel-aged-calfskin-quilted-255-reissue-224-flap-500286,"
                                                    $2,995                                            ",Chanel,,500286,Crossbody,7.75 ,5.25 ,2.75 ,21 ,,authenticity card,"We guarantee this is an authentic CHANEL Aged Calfskin Quilted 2.55 Reissue 224 Flap or 100% of your money back. This stylish shoulder bag is beautifully crafted of diamond quilted aged calfskin leather in metallic silver. The handbag features an aged ruthenium chain shoulder strap and a matching mademoiselle turn lock. This opens to reveal an inner flap and a matching leather interior with flat pockets. This is a beautiful shoulder bag that is ideal for day or evening wear, from Chanel!",Excell,Frayed stitch(es),Faint scratch(es),,,
Metallic Grained Calfskin Quilted Large Casual Rock Backpack Charcoal,https://www.fashionphile.com/chanel-metallic-grained-calfskin-quilted-large-casual-rock-backpack-charcoal-500109,"
                                                    $2,495                                            ",Chanel,"4,500",500109,Backpacks,10 ,12 ,5.25 ,14.5 ,,"box, dust bag, authenticity card","We guarantee this is an authentic CHANEL Metallic Grained Calfskin Quilted Large Casual Rock Backpack Charcoal or 100% of your money back. This stylish backpack is crafted of grained calfskin leather in a metallic silver. It features diamond quilted front external pockets with silver zipper closures, two side zipper pockets and aged silver chain link leather shoulder straps. The magnet closure opens the flap to a matching silver fabric interior with a zipper pocket. This is an excellent back pack for everyday use and just the right essentials, from Chanel!",Excell,"Corner wear, creases","Protective plastic sticker(s) intact, faint scratch(es)",,,
Calfskin Chevron Quilted New Medium Boy Flap Bright Blue,https://www.fashionphile.com/chanel-calfskin-chevron-quilted-new-medium-boy-flap-bright-blue-506175,"
                                                    $3,995                                            ",Chanel,"5,500",506175,Crossbody,11 ,6.5 ,3 ,19.5 ,2017,"dust bag, authenticity card","We guarantee this is an authentic CHANEL Calfskin Chevron Quilted New Medium Boy Flap Bright Blue or 100% of your money back. This chic shoulder bag is crafted of smooth calfskin leather in blue. The bag features a ruthenium chain shoulder strap with a leather shoulder pad, a chevron-quilted flap with a linear quilted border and a ruthenium Boy CC push lock. This opens to a navy blue fabric interior with zipper and patch pockets. This is a perfect shoulder bag for day or evening with the timeless style of Chanel! ",Excell,"dge wear , faint corner wea",,,"Marks, protective plastic sticker(s) intac",
Metallic Lambskin Small Scaled Boy Flap Gold,https://www.fashionphile.com/chanel-metallic-lambskin-small-scaled-boy-flap-gold-505492,"
                                                    $3,995                                            ",Chanel,"5,000",505492,Crossbody,7.75 ,5 ,2.25 ,21.25 ,2015,"box, dust bag, authenticity card","We guarantee this is an authentic CHANEL Metallic Lambskin Small Scaled Boy Flap Gold or 100% of your money back. This luxurious shoulder bag in the smallest size is crafted of metallic gold lambskin leather with peripheral linear quilting. The shoulder bag features an aged gold chain-link shoulder strap, an aged gold boy CC press-lock closure and a scaled detailing in the center. The flap opens to a black fabric interior with a patch pocket. This is an elegant crossbody with the timeless style of Chanel!",Excell,"Corner wear, edge wea",Faint scratch(es),,Marks,
Calfskin Quilted Coco Case Trolley Red,https://www.fashionphile.com/chanel-calfskin-quilted-coco-case-trolley-red-455014,"
                                                    $5,510                                            ",Chanel,"7,000",455014,Handbags,14.75 ,18.25 ,8.25 ,18.25 ,2017,"authenticity card, luggage tag, luggage cover","We guarantee this is an authentic CHANEL Calfskin Quilted Coco Case Trolley Red or 100% of your money back. This stylish suitcase is crafted of red diamond-quilted calfskin leather. The suitcase features top and side reinforced leather handles, rolling wheels, and a brushed light gold telescopic handle. The polished gold wrap-around zippers open to a black mesh interior with zipper and patch pockets. This is an excellent bag for light travel, with the timeless appeal of Chanel!",Excell,"Scuffs , imprints",,,Pocket(s) stretched,
Tweed Calfskin Quilted Small Gabrielle Bucket Black Brown Orange,https://www.fashionphile.com/chanel-tweed-calfskin-quilted-small-gabrielle-bucket-black-brown-orange-506346,"
                                                    $2,395                                            ",Chanel,"3,700",506346,Crossbody,7.75 ,8.75 ,1.25 ,24.75 ,2018,box,"We guarantee this is an authentic CHANEL Tweed Calfskin Quilted Small Gabrielle Bucket Black Brown Orange or 100% of your money back. This chic multicolored tweed in orange, brown and black has a sturdy smooth diamond quilted aged calfskin base in black. The cross body bag features thin aged gold tone and polished silver tone leather threaded shoulder straps with a shoulder pad and side expansion chain link. The cinch top opens with a aged gold CC to a spacious natural fabric interior with patch pockets. This elegant and functional shoulder bag is both versatile and chic, from Chanel!",Excell,"Pilling , marks",Faint scratch(es),,,
Calfskin Chevron Quilted Medium Boy Flap Red,https://www.fashionphile.com/chanel-calfskin-chevron-quilted-medium-boy-flap-red-506154,"
                                                    $3,995                                            ",Chanel,"5,000",506154,Crossbody,10 ,6 ,3 ,19 ,2018,"authenticity card, box, dust bag",We guarantee this is an authentic CHANEL Calfskin Chevron Quilted Medium Boy Flap Red or 100% of your money back. This chic shoulder bag features smooth luxurious calfskin leather with a chevron quilting framed by linear quilting. The bag features a ruthenium chain link and shoulder pad shoulder strap with a ruthenium Boy CC clasp at the flap. This opens to a fabric interior with a flat pocket and room for essentials for daytime and evening wear with the timeless quality and style only from Chanel!,Excell,"Faint corner wear, faint scuffs",Faint scratch(es),,Scuffs,
Shearling Small Gabrielle Hobo Navy,https://www.fashionphile.com/chanel-shearling-small-gabrielle-hobo-navy-506168,"
                                                    $3,095                                            ",Chanel,,506168,Crossbody,8 ,6.75 ,3.5 ,27.5 ,2018,authenticity card,"We guarantee this is an authentic CHANEL Shearling Small Gabrielle Hobo Navy or 100% of your money back. This chic shoulder bag is featured shearling stitched calfskin leather in navy blue with a sturdy smooth matching calfskin base. The cross body bag features silver tone and silver ruthenium chain link silver leather threaded shoulder straps with a shoulder pad. The top zipper opens to matching fabric interior with zipper and patch pockets. This elegant and functional shoulder bag is both versatile and chic, from Chanel!",New,Scuffs,,,,
