productname,productpage,price,brand,estretailpr,itemnr,category,length,height,width,drop,year,acc_included,description,condition,cond_ext,cond_hw,cond_handle,cond_int,cond_other
Pebbled Calfskin Medium Soho Shoulder Bag Black,https://www.fashionphile.com/gucci-pebbled-calfskin-medium-soho-shoulder-bag-black-513003,"
                                                    $785                                            ",Gucci,990,513003,Crossbody,10.5 ,6.25 ,2.25 ,21 ,,assel,"We guarantee this is an authentic GUCCI Pebbled Calfskin Medium Soho Shoulder Bag Black or 100% of your money back. This stylish tote is crafted of fine soft leather in black. The bag features a long chain strap with brass links, a hanging tassel, and a large quilted GG on the front flap. This opens to an ivory fabric interior with zipper and patch pockets. This is a chic crossbody for every occasion, with the stylish sophistication only from Gucci!",Very G,"Wear at resin glazing, faint corner wea","Scratch(es) , tarnish",,Stain(s),
Calfskin Small Sylvie Shoulder Bag Navy,https://www.fashionphile.com/gucci-calfskin-small-sylvie-shoulder-bag-navy-511994,"
                                                    $1,615                                            ",Gucci,"2,590",511994,Crossbody,10 ,6.75 ,3 ,27.25 ,,"dust bag, strap","We guarantee this is an authentic GUCCI Calfskin Small Sylvie Shoulder Bag Navy or 100% of your money back. This structured shoulder bag is crafted of smooth dark blue calfskin leather and features a prominent front flap detailed with a central nylon red and green web stripe embellished with a gold chain buckle lock closure. This bag has two interchangeable and detachable shoulder straps; one being a classic blue leather strap and the other, a red, white, and blue webbed stripe Sylvie ribbon. The crossover flap opens to a beige microfiber lining with a zipper and patch pocket. This is an ideal statement bag, with the sophisticated style only from Gucci!",Very G,"Scuffs , pilling , marks, imprints","Scratch(es) , pitt","Creases, scuffs , marks, structure wear","Scuffs , surface wea",
Velvet Matelasse Small GG Marmont Shoulder Bag Cobalt Blue,https://www.fashionphile.com/gucci-velvet-matelasse-small-gg-marmont-shoulder-bag-cobalt-blue-512985,"
                                                    $1,400                                            ",Gucci,"1,790",512985,Crossbody,10.25 ,6.5 ,2.75 ,21 ,,box,"We guarantee this is an authentic GUCCI Velvet Matelasse Small GG Marmont Shoulder Bag Cobalt Blue or 100% of your money back. This lovely bag is crafted of chevron-quilted soft velvet in cobalt blue. It features an aged gold chain with blue leather shoulder strap and interlocking prominent GG logo closure. The crossover flap opens to a pink satin interior with zipper and patch pockets. This is a perfect everyday shoulder bag, from Gucci!",Excell,Marks,,Scuffs,"Scuffs , marks",
Plastic Mickey Mouse Top Handle Bag White,https://www.fashionphile.com/gucci-plastic-mickey-mouse-top-handle-bag-white-468322,"
                                                    $4,115                                            ",Gucci,"4,700",468322,Handbags,4 ,10.5 ,9 ,2 ,,"box, dust bag","We guarantee this is an authentic GUCCI Plastic Mickey Mouse Top Handle Bag White or 100% of your money back. This clever top handle bag was designed for the Spring 2019 runway in honor of Mickey Mouse's 80th birthday in 2018. Created from a 3-D printer, this clutch bag features a top handle debossed with the Gucci name, red enameled details including a star and moon on the ears, a classic Mickey Mouse face, and the French phrase ""mon petit chou"", or ""My Little Cream Puff"" enameled across the forehead. The hidden magnet closure opens to a round sculpted plastic interior with two leather straps. Show off your individuality with this one of a kind statement bag, from Gucci! ",Excell,"Faded area(s), color transfer , cracks, chemical scen",,,,
Pebbled Calfskin Small Soho Disco Bag Black,https://www.fashionphile.com/gucci-pebbled-calfskin-small-soho-disco-bag-black-512974,"
                                                    $1,135                                            ",Gucci,"1,190",512974,Crossbody,8 ,6.25 ,2.75 ,22 ,,"box, dust bag","We guarantee this is an authentic GUCCI Pebbled Calfskin Small Soho Disco Bag Black or 100% of your money back. This stylish crossbody bag is crafted of textured calfskin leather in black. The shoulder bag features an adjustable leather shoulder strap, a stitched interlocking GG logo and a polished gold knobbed leather tassel zipper pull. This opens to an ivory natural fabric interior with a patch pocket. This is a classic everyday bag with style, only from Gucci!",Excell,,"Scratch(es) , tarnish",Sizing marks,,
Velvet Matelasse GG Marmont Belt Bag 75 Blue,https://www.fashionphile.com/gucci-velvet-matelasse-gg-marmont-belt-bag-75-blue-512426,"
                                                    $965                                            ",Gucci,,512426,Belt Bags,7.25 ,4.5 ,1.75 ,,,"box, dust bag","We guarantee this is an authentic GUCCI Velvet Matelasse GG Marmont Belt Bag 75 Blue or 100% of your money back. This belt bag is crafted of turquoise blue chevron stitched velvet. This bag is an oval shape with a leather belt that can be worn as a belt bag. It features an aged gold GG logo on the front and a stitched heart shape on the back of the bag with an adjustable belt closure. It opens to a pink satin interior. This compact, yet spacious belt bag is perfect for anytime of the day; whether it be for casual or formal wear, from Gucci!",Excell,,Faint scratch(es),Sizing marks,,
GG Supreme Monogram Web Mini Ophidia GG Bag Brown,https://www.fashionphile.com/gucci-gg-supreme-monogram-web-mini-ophidia-gg-bag-brown-512382,"
                                                    $965                                            ",Gucci,,512382,Crossbody,7.75 ,3.75 ,2.5 ,20.5 ,,"box, dust bag","We guarantee this is an authentic GUCCI GG Supreme Monogram Web Mini Ophidia GG Bag Brown or 100% of your money back. This stylish shoulder bag is crafted of Gucci GG supreme monogram coated canvas, with a red and green web stripe detail, and brown leather trim. The features an adjustable brown leather shoulder strap with polished gold hardware. The three top zippers open the bag to a beige microfiber interior with card slots. This is a gorgeous shoulder bag, suitable for everyday use, from Gucci!",Excell,Pilling,"Plating wear , faint scratch(es)",Sizing marks,Surface wea,
Calfskin Matelasse Medium GG Marmont Shoulder Bag Nude,https://www.fashionphile.com/gucci-calfskin-matelasse-medium-gg-marmont-shoulder-bag-nude-514457,"
                                                    $2,105                                            ",Gucci,"2,490",514457,Crossbody,11.75 ,7.5 ,2.75 ,20.75 ,,dust bag,"We guarantee this is an authentic GUCCI Calfskin Matelasse Medium GG Marmont Shoulder Bag Nude or 100% of your money back. This shoulder bag is crafted of smooth and supple calfskin leather in nude. This bag features an aged gold chain shoulder strap with a leather shoulder pad and a front interlocking GG logo. The bag opens to a beige microfiber interior with zipper and patch pockets. This spacious shoulder bag is perfect for any time of the day, whether it be for casual or formal wear, from Gucci!",Excell,Marks,Faint scratch(es),Ink marks,Scuffs,
Calfskin Frame Print Top Handle Bag Black,https://www.fashionphile.com/gucci-calfskin-frame-print-top-handle-bag-black-461123,"
                                                    $2,495                                            ",Gucci,"4,600",461123,Handbags,12 ,7.5 ,4.25 ,19.5 ,,rap,"We guarantee this is an authentic GUCCI Calfskin Frame Print Top Handle Bag Black or 100% of your money back. This exquisite, one of a kind bag is crafted of black calfskin leather with painted metallic gold filigree decoration along the borders. The bag has a looping sturdy bamboo top handle, an optional shoulder chain strap, and a prominent tiger head crystal encrusted closure. The flap opens to reveal a floral partitioned interior with zipper and patch pockets. This unique bag is ideal for a special occasion, wear it with sophisticated style, from Gucci!",Excell,Faint scuffs,Faint scratch(es),,,
Calfskin Large Bamboo Clutch Pink,https://www.fashionphile.com/gucci-calfskin-large-bamboo-clutch-pink-491498,"
                                                    $350                                            ",Gucci,,491498,Clutch & Evening,13.25 ,8.5 ,,,,,"We guarantee this is an authentic GUCCI Calfskin Large Bamboo Clutch Pink or 100% of your money back. This chic case is crafted of pebbled calfskin leather in pink. The polished gold top zipper opens with a braided and bamboo zipper pull to a beige fabric interior with a patch pocket. This is an excellent case that is practical and chic, with a one of a kind look, from Gucci!",Very G,,Faint scratch(es),,Marks,
