prname,page2,price,authnumber,sizeInch,color_material,accessories,outside_condition,inside_condition,other,smell,product_nr
HERMES Vinyl Kelly Beach Hand Bag SOUVENIR DE L'EXPOSITION 1998,/collections/hermes/products/ao18250,"98,000",-,"W 15.7 x H 12.2 x D 4.7 ""

Handle Drop. 1.6 ""","Orange
/
Vinyl",-,Good condition,Good condition,-,-,AO18250
HERMES CORDELIERS Hand Bag Black Box Calf,/collections/hermes/products/ao17773,"198,000",Circle : H ; Production in 1978,"W 11.0 x H 6.9 x D 3.1 ""

Handle Drop. 5.5 ""","Black
/
Box Calf",-,"There is sign of use overall.

Box calf: There is scratches.",There is sign of use overall.,-,-,AO17773
HERMES POCHETTE RIO H Logos Clutch Bag Yellow Veau Greine Couchevel,/collections/hermes/products/ao17334,"98,000",Circle: W ;Production in 1993,"W 9.4 "" x H 6.5 "" x D 0.4 ""","Yellow
/
Veau Greine Couchevel",-,There is minor sign of used overall.,There is minor sign of used overall.,-,-,AO17334
HERMES Aline GM Shoulder Bag Ivory,/collections/hermes/products/ao17038,"69,800",-,"W 13.4 x H 18.1 x D 0.4 ""

Strap Drop. 13.0 ""","Ivory, Black, Brown
/
50% Linen, 50% Cotton, Leather",-,There is sign of use overall.,There is sign of use overall.,-,-,AO17038
HERMES Noumea Shoulder Bag Brown Traurillon Clemence,/collections/hermes/products/ao16717,"108,000",Circle: M ; Production in 1983,"W 10.8 x H 8.7 x D 3.1 ""

Strap Drop. 14.6 ""","Brown
/
Traurillon Clemence",-,There is sign of use overall.,There is sign of use overall.,-,-,AO16717
HERMES KELLY 32 SELLIER 2way Hand Bag Black Box Calf,/collections/hermes/products/ao16713,"798,000",Square: D ;Production in 2000,"W 12.6 x H 9.4 x D 4.3 ""

Handle Drop. 3.5 ""

Strap Drop. 17.3 ""","Black
/
Box Calf","Cover of Key(Strap: minor crack), Keys*2, Padlock, Shoulder Strap",There is minor sign of used overall.,There is sign of used overall.,-,-,AO16713
HERMES Logos Shoulder Bag Dark Brown Ostrich,/collections/hermes/products/ao16636,"248,000",-,"W 10.4 x H 7.3 x D 3.5 ""

Strap Drop. 8.3 or 16.1 ""","Dark Brown
/
Ostrich Leather",Dust Bag,There is sign of use overall.,"There is sign of used overall.

There are many scratches and dirt.",-,-,AO16636
HERMES Ile de Boo Hand Bag Brown Porc,/collections/hermes/products/ao16473,"168,000",Circle : X ;Production in 1994,"W 15.7 x H 12.8 x D 5.9 ""

Handle Drop. 5.1 ""","Brown
/
Porc",-,There is minor sign of used overall.,There is minor sign of used overall.,-,-,AO16473
HERMES McPherson 2way Hand Bag Brown Veau Greine Couchevel,/collections/hermes/products/ao16145,"298,000",Unclear due to deterioration.,"W 13.8 x H 11.8 x D 5.5 ""

Handle Drop. 4.3 ""

Strap Drop. 16.1 ""","Brown
/
Veau Greine Couchevel","Cover of Key, Keys*2, Padlock, Shoulder Strap",There is sign of used overall.,There is sign of used overall.,-,-,AO16145
HERMES Polochon Mimile Drawstring Shoulder Bag Navy,/collections/hermes/products/ao16016,"49,800",-,"W 8.1 x H 11.8 x D 7.5 ""

Strap. 26.4 ""","Navy, Brown
/
100% Cotton, Leather",-,There is sign of used overall.,There is sign of used overall.,-,-,AO16016
