productname,productpage,price,brand,estretailpr,itemnr,category,length,height,width,drop,year,acc_included,description,condition,cond_ext,cond_hw,cond_handle,cond_int,cond_other
Toile Cabas Feuillage PM,https://www.fashionphile.com/hermes-toile-cabas-feuillage-pm-504837,"
                                                    $565                                            ",Hermes,"1,350",504837,Handbags,10.5 ,12.25 ,7 ,5 ,,companion pouc,"We guarantee this is an authentic HERMES Toile Cabas Feuillage PM or 100% of your money back. This chic tote is crafted of fine toile canvas and features leaves on the outside of the bag with red handles. This opens to a beige fabric interior with a matching companion pouch, room for everyday essentials and the classical style of Hermes! ",Very G,Marks,Faint scratch(es),Pilling,,
Togo Kelly Ado Backpack Bleu Nuit,https://www.fashionphile.com/hermes-togo-kelly-ado-backpack-bleu-nuit-380828,"
                                                    $11,950                                            ",Hermes,,380828,Backpacks,8.5 ,9.25 ,4 ,18.5 ,2018,"box, dust bag","We guarantee this is an authentic HERMES Togo Kelly Ado Backpack Bleu Nuit or 100% of your money back. This chic Kelly backpack is crafted of durable, grained calfskin leather in a shade of navy blue. The bag features an adjustable leather shoulder straps and polished palladium hardware. The turn lock and leather strap closure opens to a matching blue leather interior with a patched pocket. This is a perfect tote, ideal for every occasion, with the classic sophistication, only from Hermes!",New,,Protective plastic sticker(s) intact,,,
Togo Birkin 30 Bambou,https://www.fashionphile.com/hermes-togo-birkin-30-bambou-376191,"
                                                    $13,250                                            ",Hermes,,376191,Handbags,11.75 ,8.75 ,6 ,3.75 ,2014,"dust bag, clochette, lock, 2 key","We guarantee this is an authentic HERMES Togo Birkin 30 Bambou or 100% of your money back. This chic classic handbag is superbly constructed of grained leather in a bright bamboo shade of green. The bag features rolled leather top handles, a cross over flap and strap closure, palladium silver hardware, and a padlock with a hanging clochette for the keys. This opens to a chevre goatskin leather interior with room for all of your everyday essentials with the classic sophistication of Hermes!",Excell,Structure wea,"Protective plastic sticker(s) intact, faint scratch(es)",,Scuffs,
Evercolor Constance 18 Rose Azalee,https://www.fashionphile.com/hermes-evercolor-constance-18-rose-azalee-373709,"
                                                    $9,790                                            ",Hermes,,373709,Crossbody,7.25 ,5.75 ,1.75 ,20 ,2018,"box, dust bag","We guarantee this is an authentic HERMES Evercolor Constance 18 Rose Azalee or 100% of your money back. This stylish shoulder bag is finely crafted of luxurious calfskin leather in pink. The bag features a matching shoulder strap with palladium hardware including an H buckle at the facing flap. The flap opens to a matching partitioned leather interior with zipper and flat pockets. This is a bold yet sophisticated shoulder bag for day, from Hermes!",New,,,,,
Swift Taurillon Clemence Vache Hunter Virevolte 29 Black,https://www.fashionphile.com/hermes-swift-taurillon-clemence-vache-hunter-virevolte-29-black-505740,"
                                                    $2,085                                            ",Hermes,"5,850",505740,Handbags,11.75 ,13.25 ,4.5 ,5.25 ,,"box, dust bag","We guarantee this is an authentic HERMES Swift Taurillon Clemence Vache Hunter Virevolte 29 Black or 100% of your money back. This casual tote is crafted of soft swift and grained taurillon clemence calfskin leather in black. This hobo has a relaxed slouchy style featuring an adjustable looping leather top handle, a cross over strap. The top is open to a matching suede interior. This is an excellent shoulder bag for everyday wear, both practical and chic, from Hermes!  ",Excell,Faint scuffs,Faint scratch(es),Sizing marks,"Musty odor, marks",
Swift Kelly Cut Clutch Pochette Black,https://www.fashionphile.com/hermes-swift-kelly-cut-clutch-pochette-black-505501,"
                                                    $7,950                                            ",Hermes,,505501,Clutch & Evening,12.25 ,5.25 ,0.75 ,0.5 ,,"box, dust bag","We guarantee this is an authentic HERMES Swift Kelly Cut Clutch Pochette Black or 100% of your money back. This chic clutch is crafted of fine Swift calfskin leather in black. In the style of the Kelly handbags, the clutch has a leather strap handle and a crossover flap with a strap and gold plated turn-lock closure. This opens to a matte black leather interior with a patched pocket. This is an excellent clutch, ideal for evening and special occasions, from Hermes!",New,,Protective plastic sticker(s) intact,,Protective plastic sticker(s) intac,
Swift Kelly Cut Clutch Pochette Bleu Zanzibar,https://www.fashionphile.com/hermes-swift-kelly-cut-clutch-pochette-bleu-zanzibar-505412,"
                                                    $7,950                                            ",Hermes,,505412,Clutch & Evening,12.25 ,5 ,0.75 ,0.75 ,2019,dust bag,"We guarantee this is an authentic HERMES Swift Kelly Cut Clutch Pochette Bleu Zanzibar or 100% of your money back. This chic clutch is crafted of fine swift calfskin leather in blue. In the style of the Kelly handbags, the clutch has a leather top handle, a cross over flap and closure with a polished gold plated turn lock. This opens to a leather interior with enough room for just your essentials. This is an excellent clutch, ideal for evening and special occasions, from Hermes!",New,,Protective plastic sticker(s) intact,,,
Epsom Constance 24 Black,https://www.fashionphile.com/hermes-epsom-constance-24-black-505432,"
                                                    $15,950                                            ",Hermes,,505432,Handbags,9 ,7.5 ,3 ,18 ,,"box, dust bag","We guarantee this is an authentic HERMES Epsom Constance 24 Black or 100% of your money back. This stylish shoulder bag is finely crafted of epsom calfskin leather in black. The bag features a cross-body strap with rose gold plated hardware including an H buckle at the front flap. The flap opens to a compact partitioned leather interior with zipper and patch pockets. This bag is ideal for day or evening, from Hermes!",Excell,,Protective plastic sticker(s) intact,,Scuffs,
Togo Kelly Retourne 35 Malachite,https://www.fashionphile.com/hermes-togo-kelly-retourne-35-malachite-505849,"
                                                    $6,885                                            ",Hermes,,505849,Handbags,13.75 ,9.75 ,5.25 ,17 ,,"dust bag, strap, clochette, lock, 2 key","We guarantee this is an authentic HERMES Togo Kelly Retourne 35 Malachite or 100% of your money back. This Kelly handbag is crafted of richly textured calfskin leather in dark green. The bag features a reinforced leather top handle, an optional leather shoulder strap, and a crossover flap with a strap and polished palladium turn-lock. This opens to a matte leather interior with zipper and flat pockets. This is an iconic and very sought after handbag, ideal for occasions that call for the luxury and style only from Hermes!",Very G,"Structure loss , edge wear , marks, faint corner wea",Scratch(es),"Scuffs , marks",Marks,
Buffle Brides de Gala Silky Pop Shopper Tote Rouge Garance,https://www.fashionphile.com/hermes-buffle-brides-de-gala-silky-pop-shopper-tote-rouge-garance-500117,"
                                                    $615                                            ",Hermes,,500117,Handbags,11.25 ,13 ,135 ,8 ,,,We guarantee this is an authentic HERMES Buffle Brides de Gala Silky Pop Shopper Tote Rouge Garance or 100% of your money back. This chic shopper tote is crafted of 100% silk in orange and pink with a bridle pattern. The tote features a one-piece design that can be brought anywhere when not in use and folded up inside its red buffalo leather base with a wraparound zipper to form a leather pod. This pod can be stored or carried with ease and convenience with the stylish sophistication only from Hermes!,Excell,Scuffs,Faint scratch(es),,Bubbled,
